|Word_Count|Word|X1|Y1|X2|Y2
1|1|VEG|216|35|265|35
2|2|RESTAURANT|271|38|413|39
3|3|CUISINES|221|55|302|56
4|4|D|308|61|314|61
5|5|LTD)|326|62|357|62
6|6|HON|371|60|396|60
7|7|AC|408|59|422|59
8|8|N|191|71|203|71
9|9|33AAHCP475281ZK|224|71|358|73
10|10|AZHISAI,|147|87|234|87
11|11|CHENNAI|249|92|313|92
12|12|-|329|87|342|87
13|13|602|345|91|369|91
14|14|107|382|90|405|90
15|15|TEL|161|106|198|106
16|16|NO:|210|107|235|107
17|17|04426810921|242|108|344|107
18|18|TAKE|208|148|257|146
19|19|AWAY|272|147|318|145
20|20|DATE|29|204|89|196
21|21|CREW:|36|227|95|222
22|22|CASHIER2|104|221|210|212
23|23|:31-Aug-2020|120|195|274|185
24|24|07:20|292|186|349|182
25|25|PM|365|182|388|180
26|26|WAITER|240|212|317|208
27|27|:CASHIER2|333|204|436|198
28|28|TakeAway/PARCEL|39|250|242|231
29|29|INV|40|279|78|275
30|30|NO:6374|92|273|188|263
31|31|ORD|260|259|296|256
32|32|NO:|311|256|342|254
33|33|6374|349|252|394|248
34|34|QTY|60|354|96|350
35|35|ITEM|124|347|180|341
36|36|NAME|194|339|247|333
37|37|AMOUNT|379|320|449|313
38|38|3|96|429|101|428
39|39|PAROTTA|132|425|229|412
40|40|KURUMA|245|410|321|400
41|41|(2)|342|397|367|394
42|42|225.00|391|390|459|381
43|43|140.00|395|414|464|405
44|44|DOSA|133|450|189|443
45|45|GROSS|235|490|301|479
46|46|AMT:|315|478|363|470
47|47|365.00|401|463|470|452
48|48|9.13|428|484|472|477
49|49|AES|90|499|126|498
50|50|CGST@2.5:|253|513|366|494
51|51|PAD|79|541|146|510
52|52|9.13|431|507|474|499
53|53|SGST@2.5:|254|537|368|519
54|54|383.00|405|540|480|527
55|55|383.00|411|560|481|546
56|56|NET|271|560|309|555
57|57|AMT:|324|551|371|544
58|58|INR:|328|575|373|569
