|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
20|0|1|1|VEG|216|35|265|35
32|1|2|2|RESTAURANT|271|35|413|39
21|2|3|3|CUISINES|216|55|302|56
35|5|4|4|D|308|55|314|61
39|6|5|5|LTD)|324|55|357|62
47|4|6|6|HON|371|55|396|60
54|3|7|7|AC|408|55|422|59
16|7|8|8|N|191|71|203|71
22|8|9|9|33AAHCP475281ZK|224|71|358|73
14|9|10|10|AZHISAI,|147|87|234|87
27|13|11|11|CHENNAI|249|87|313|92
41|10|12|12|-|324|87|342|87
44|12|13|13|602|342|87|369|91
49|11|14|14|107|379|87|405|90
15|14|15|15|TEL|161|106|198|106
19|15|16|16|NO:|208|106|235|107
25|16|17|17|04426810921|242|106|344|107
18|18|18|18|TAKE|208|147|257|146
33|17|19|19|AWAY|271|147|318|145
34|20|24|24|07:20|292|182|349|182
46|19|25|25|PM|365|182|388|180
0|22|20|20|DATE|29|195|89|196
10|21|23|23|:31-Aug-2020|120|195|274|185
42|23|27|27|:CASHIER2|333|195|436|198
9|25|22|22|CASHIER2|104|212|210|212
24|24|26|26|WAITER|235|212|317|208
1|26|21|21|CREW:|36|227|95|222
2|27|28|28|TakeAway/PARCEL|36|250|242|231
30|30|31|31|ORD|260|250|296|256
36|29|32|32|NO:|308|250|342|254
45|28|33|33|6374|349|250|394|248
3|32|29|29|INV|36|273|78|275
7|31|30|30|NO:6374|90|273|188|263
48|33|37|37|AMOUNT|379|320|449|313
11|35|35|35|ITEM|120|339|180|341
17|34|36|36|NAME|191|339|247|333
4|36|34|34|QTY|60|354|96|350
43|38|41|41|(2)|342|390|367|394
50|37|42|42|225.00|391|390|459|381
26|39|40|40|KURUMA|242|410|321|400
51|40|43|43|140.00|391|410|464|405
8|42|38|38|3|96|425|101|428
12|41|39|39|PAROTTA|132|425|229|412
13|43|44|44|DOSA|132|450|189|443
52|44|47|47|365.00|401|463|470|452
37|45|46|46|AMT:|315|478|363|470
56|46|48|48|9.13|428|478|472|477
6|48|49|49|AES|90|490|126|498
23|47|45|45|GROSS|235|490|301|479
28|50|50|50|CGST@2.5:|249|507|366|494
57|49|52|52|9.13|428|507|474|499
5|53|51|51|PAD|79|537|146|510
29|51|53|53|SGST@2.5:|249|537|368|519
53|52|54|54|383.00|401|537|480|527
31|55|56|56|NET|271|551|309|555
38|54|57|57|AMT:|324|551|371|544
55|56|55|55|383.00|408|551|481|546
40|57|58|58|INR:|324|575|373|569
