|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
15|1|1|1|Amma|88|41|166|47
32|0|2|2|Supermarket|188|41|391|41
27|4|3|3|New|160|74|187|75
34|6|4|4|No.|198|74|223|76
40|2|5|5|10,0ld|225|74|282|74
53|5|6|6|No.|292|74|317|75
56|3|7|7|16,|320|74|346|74
24|7|8|8|Lakshni|138|95|204|95
38|10|9|9|Nagar|217|95|261|96
49|8|10|10|Main|273|95|311|95
54|9|11|11|Road|320|95|358|95
36|11|12|12|Ve|208|116|224|116
41|12|13|13|lachery|225|116|291|116
33|13|14|14|Chennai|188|136|252|136
45|14|15|15|-600042|259|136|321|137
31|15|16|16|Phone:|168|157|233|157
44|16|17|17|9003|245|157|283|157
52|17|18|18|158468|285|157|340|158
9|18|19|19|GSTIN:|22|199|81|199
14|19|20|20|33AAVFA|88|199|159|199
28|20|21|21|14648120|160|199|236|199
43|21|22|22|BILL|236|220|273|221
8|22|23|23|8ill|22|237|60|237
11|23|24|24|No.|73|237|99|241
20|25|25|25|:|114|237|119|245
22|24|26|26|2017/C1/091017|132|237|264|241
7|26|27|27|Date&Time:|22|259|119|259
21|27|28|28|20/01/2018|132|259|227|263
42|28|29|29|06:15:24|236|259|313|263
57|29|30|30|PM|320|259|341|263
6|30|31|31|Product|16|300|88|302
16|31|32|32|Name|100|300|140|303
50|32|37|37|Rate|273|300|310|304
58|33|38|38|ty|328|300|389|304
66|34|39|39|Value|403|300|474|304
5|35|33|33|ID|16|346|37|346
10|36|34|34|IDLY&DOSA|48|346|139|346
26|37|35|35|BATTER1|144|346|225|347
46|38|36|36|65.00|266|346|315|347
64|39|40|40|165.00|383|346|474|348
4|40|41|41|GODREJ|16|368|77|368
13|41|42|42|SHAV|88|368|128|369
23|42|43|43|CR|138|368|158|369
30|43|44|44|COUL|168|368|202|369
39|45|45|45|ME|217|368|235|370
47|44|46|46|25.001|266|368|392|369
69|46|47|47|25.00|427|368|478|370
3|47|50|50|AROKYA|16|390|77|391
12|51|51|51|MILK|88|390|127|391
48|48|52|52|24.00|266|390|315|388
65|49|48|48|1|383|390|393|390
67|50|49|49|24.00|403|390|478|390
60|52|53|53|3.000|346|436|396|435
68|53|54|54|114.00|427|436|477|435
2|55|55|55|B111|9|480|87|481
17|56|56|56|Amount|100|480|225|481
55|54|61|61|114.0o0|320|480|422|476
1|58|57|57|Received|9|503|94|505
19|59|58|58|Amount|114|503|174|505
62|57|62|62|120.00|369|503|421|498
0|61|59|59|Balance|9|522|81|528
18|62|60|60|Amount|100|522|164|528
63|60|63|63|6.00|383|522|419|519
25|67|64|64|a|144|586|160|588
29|66|65|65|caiu|160|586|201|587
35|69|66|66|.|198|586|206|593
37|68|67|67|UISIL|217|586|272|589
51|65|68|68|AGAIN|273|586|325|585
59|63|69|69|!|337|586|341|586
61|64|70|70|!|346|586|350|586
