Word_Count,Word,index,X1,Y1,X2,Y2
1,CVS,3,395,2183,399,1742
2,pharmacy,5,399,1659,406,881
3,205,7,757,2246,752,2133
4,N.,9,761,2082,758,2021
5,MICHIGAN,11,754,1960,740,1637
6,ST.,13,732,1586,728,1485
7,",",15,761,1456,760,1440
8,"CHICAGO,",17,722,1380,708,1057
9,IL,19,710,990,707,921
10,STORE,21,840,2204,831,2007
11,PHONE,23,836,1960,827,1763
12,#,25,830,1752,829,1722
13,:,27,842,1700,842,1692
14,312-938-4090,29,815,1628,793,1131
15,CSHR,31,994,1706,987,1548
16,#,33,990,1537,989,1507
17,0000094,35,984,1496,972,1212
18,STR,37,962,1159,957,1040
19,#,39,960,1031,959,999
20,4781,41,956,988,949,834
21,REG,43,1015,2352,1010,2239
22,#,45,1017,2230,1016,2202
23,09,47,1013,2195,1010,2120
24,TRN,49,1011,2069,1006,1960
25,#,51,1006,1951,1005,1923
26,0910,53,1004,1911,997,1757
27,1431,55,1137,1242,1131,1094
28,ExtraCare,57,1183,2309,1168,1956
29,Card,59,1171,1909,1164,1751
30,#,61,1163,1700,1162,1670
31,:,63,1175,1651,1174,1639
32,2.99B,65,1321,1439,1314,1275
33,1GAL,67,1348,2283,1342,2135
34,DAIRY,69,1348,2104,1341,1954
35,PUR,71,1342,1929,1338,1836
36,WH,73,1338,1809,1335,1746
37,M,75,1336,1720,1334,1684
38,128Z,77,1332,1655,1327,1534
39,2.99,79,1478,1421,1489,1295
40,07,81,1573,1362,1568,1302
41,3.06,83,1649,1423,1655,1295
42,3.06,85,1732,1421,1737,1297
43,1,87,1488,1328,1488,1308
44,SUBTOTAL,89,1506,2053,1499,1820
45,IL,91,1584,2057,1583,1999
46,2.25,93,1584,1970,1581,1849
47,%,95,1580,1848,1579,1816
48,TAX,97,1580,1785,1578,1694
49,TOTA,99,1663,2067,1663,1952
50,CHARGE,101,1746,2063,1746,1879
51,***7409,103,1826,1840,1826,1582
52,Discover,105,1907,2275,1907,2050
53,Credit,107,1907,2017,1907,1833
54,***7409,109,1907,1781,1907,1245
55,APPROVED,111,1998,2279,1998,2030
56,#,113,2000,2031,2000,2005
57,00661R,115,1996,1972,1996,1790
58,REF,117,2082,2279,2082,2188
59,#,119,2084,2183,2084,2157
60,099103,121,2082,2126,2082,1940
61,TRAN,123,2161,2279,2161,2155
62,TYPE:,125,2159,2126,2159,1986
63,SALE,127,2159,1945,2159,1821
64,ATD:,129,2246,2283,2246,2170
65,A0000001523010,131,2246,2098,2246,1664
66,IC:,133,2330,2277,2330,2202
67,225568CFB408895F,135,2327,2161,2327,1670
68,TERMINAL,137,2417,2281,2417,2042
69,#,139,2419,2037,2419,2011
70,82269451,141,2417,1978,2417,1743
71,NO,143,2500,2289,2500,2228
72,SIGNATURE,145,2500,2197,2500,1919
73,REQUIRED,147,2500,1886,2500,1637
74,CVM:,149,2582,2293,2582,2178
75,1E0300,151,2582,2134,2582,1948
76,TVRC,153,2665,2293,2665,2184
77,95):,155,2665,2171,2665,2056
78,0000008000,157,2667,2015,2667,1702
79,TSIC9B):,159,2760,2299,2760,2062
80,E800,161,2762,2019,2762,1893
81,CHANGE,163,2933,2092,2933,1899
82,.00,165,2941,1374,2941,1289
83,2504,167,3425,2010,3429,1848
84,7818,169,3429,1795,3434,1629
85,0370,171,3435,1578,3440,1412
86,9100,173,3443,1360,3448,1192
87,96,175,3447,1139,3449,1058
88,Returns,177,3508,2267,3515,1973
89,with,179,3514,1923,3518,1757
90,"recelpt,",181,3518,1706,3526,1377
91,subJect,183,3531,1315,3538,1019
92,to,185,3539,954,3541,879
93,CVS,187,3590,2313,3592,2190
94,Return,189,3594,2140,3599,1886
95,"Policy,",191,3598,1836,3603,1550
96,thru,193,3608,1486,3611,1322
97,04/07/2018,195,3616,1271,3624,835
98,FEBRUARY,197,3774,2277,3778,1936
99,"6,",199,3781,1842,3782,1773
100,2018,201,3781,1710,3783,1542
101,7:37,203,3787,1224,3794,1058
102,PM,205,3795,1004,3799,923
