,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
91,0,92,to,185,3539,954,3541,879
2,2,9,IL,19,710,988,707,921
14,1,20,4781,41,956,988,949,834
101,3,102,PM,205,3795,1004,3799,923
15,4,19,#,39,956,1031,959,999
86,5,87,96,175,3443,1139,3449,1058
16,6,18,STR,37,962,1159,957,1040
100,7,101,7:37,203,3787,1224,3794,1058
26,8,27,1431,55,1137,1242,1131,1094
96,9,97,04/07/2018,195,3616,1271,3624,835
90,10,91,subJect,183,3531,1315,3538,1019
39,11,43,1,87,1488,1328,1488,1308
41,13,40,07,81,1573,1360,1568,1302
85,12,86,9100,173,3443,1360,3448,1192
3,15,8,"CHICAGO,",17,722,1374,708,1057
81,14,82,.00,165,2941,1374,2941,1289
38,16,39,2.99,79,1478,1421,1489,1295
46,18,41,3.06,83,1649,1421,1655,1295
48,17,42,3.06,85,1732,1421,1737,1297
31,19,32,2.99B,65,1321,1439,1314,1275
8,20,7,",",15,761,1456,760,1440
95,21,96,thru,193,3608,1486,3611,1322
17,22,17,0000094,35,984,1496,972,1212
18,23,16,#,33,990,1537,989,1507
4,25,6,ST.,13,732,1578,728,1485
84,24,85,0370,171,3435,1578,3440,1412
9,26,14,312-938-4090,29,815,1628,793,1131
1,29,2,pharmacy,5,395,1651,406,881
29,27,31,:,63,1171,1651,1174,1639
32,28,38,128Z,77,1332,1651,1327,1534
13,30,13,:,27,842,1700,842,1692
19,33,15,CSHR,31,990,1700,987,1548
27,31,30,#,61,1163,1700,1162,1670
89,32,90,"recelpt,",181,3514,1700,3526,1377
99,34,100,2018,201,3781,1710,3783,1542
33,35,37,M,75,1332,1720,1334,1684
10,36,12,#,25,830,1752,829,1722
43,38,48,TAX,97,1580,1781,1578,1694
51,37,54,***7409,109,1907,1781,1907,1245
83,39,84,7818,169,3425,1795,3434,1629
34,40,36,WH,73,1338,1809,1335,1746
50,42,51,***7409,103,1826,1836,1826,1582
94,41,95,"Policy,",191,3598,1836,3603,1550
98,43,99,"6,",199,3781,1836,3782,1773
42,44,47,%,95,1580,1848,1579,1816
72,45,73,REQUIRED,147,2500,1886,2500,1637
20,47,26,0910,53,1004,1909,997,1757
28,46,29,Card,59,1171,1909,1164,1751
35,49,35,PUR,71,1338,1923,1338,1836
88,48,89,with,179,3514,1923,3518,1757
21,51,25,#,51,1004,1945,1005,1923
61,50,63,SALE,127,2159,1945,2159,1821
5,53,5,MICHIGAN,11,754,1960,740,1637
11,52,11,PHONE,23,836,1960,827,1763
44,54,46,2.25,93,1580,1970,1581,1849
54,55,57,00661R,115,1996,1970,1996,1790
67,56,70,82269451,141,2417,1970,2417,1743
53,59,53,Credit,107,1907,2010,1907,1833
77,58,78,0000008000,157,2665,2010,2667,1702
79,60,80,E800,161,2760,2010,2762,1893
82,57,83,2504,167,3425,2010,3429,1848
56,61,56,#,113,1996,2031,2000,2005
69,62,69,#,139,2417,2031,2419,2011
40,63,44,SUBTOTAL,89,1506,2053,1499,1820
45,64,45,IL,91,1580,2053,1583,1999
22,67,24,TRN,49,1011,2063,1006,1960
47,66,49,TOTA,99,1663,2063,1663,1952
49,65,50,CHARGE,101,1746,2063,1746,1879
7,68,4,N.,9,761,2082,758,2021
64,70,65,A0000001523010,131,2246,2092,2246,1664
80,69,81,CHANGE,163,2933,2092,2933,1899
37,71,34,DAIRY,69,1348,2104,1341,1954
57,73,60,099103,121,2082,2126,2082,1940
60,72,62,TYPE:,125,2159,2126,2159,1986
73,74,75,1E0300,151,2582,2126,2582,1948
93,75,94,Return,189,3590,2140,3599,1886
65,76,67,225568CFB408895F,135,2327,2161,2327,1670
75,77,77,95):,155,2665,2171,2665,2056
0,78,1,CVS,3,395,2183,399,1742
59,79,59,#,119,2082,2183,2084,2157
12,82,10,STORE,21,836,2195,831,2007
23,80,23,09,47,1011,2195,1010,2120
70,81,72,SIGNATURE,145,2500,2195,2500,1919
25,83,22,#,45,1017,2230,1016,2202
6,84,3,205,7,754,2246,752,2133
52,86,52,Discover,105,1907,2267,1907,2050
87,85,88,Returns,177,3508,2267,3515,1973
36,93,33,1GAL,67,1348,2277,1342,2135
55,91,55,APPROVED,111,1996,2277,1998,2030
58,89,58,REF,117,2082,2277,2082,2188
62,90,61,TRAN,123,2159,2277,2161,2155
63,94,64,ATD:,129,2246,2277,2246,2170
66,87,66,IC:,133,2327,2277,2330,2202
68,92,68,TERMINAL,137,2417,2277,2417,2042
97,88,98,FEBRUARY,197,3774,2277,3778,1936
71,95,71,NO,143,2500,2289,2500,2228
74,96,74,CVM:,149,2582,2289,2582,2178
76,97,76,TVRC,153,2665,2289,2665,2184
78,98,79,TSIC9B):,159,2760,2299,2760,2062
30,99,28,ExtraCare,57,1183,2309,1168,1956
92,100,93,CVS,187,3590,2309,3592,2190
24,101,21,REG,43,1011,2352,1010,2239
