Word_Count,Word,index,X1,Y1,X2,Y2
1,Ooty,3,1078,801,1191,807
2,Vegetables&,5,1220,809,1548,827
3,Fruits,7,1565,828,1735,838
4,1,9,1175,939,1183,940
5,"109,",11,1206,941,1293,949
6,OFR,13,1315,950,1371,955
7,ain,15,1405,958,1478,964
8,"Poad,",17,1511,968,1608,976
9,Padur,19,1228,992,1321,1000
10,603103.,21,1358,1004,1535,1020
11,Ph:,23,1246,1035,1300,1040
12,805607333,25,1317,1041,1517,1059
13,Uender:,27,1047,1061,1188,1073
14,1,29,1196,1074,1208,1075
15,04-03-2018,31,1037,1135,1257,1154
16,19:09,33,1279,1163,1384,1172
17,Ticket,35,1413,1137,1528,1142
18,to.:,37,1549,1143,1632,1147
19,3549,39,1639,1147,1722,1151
20,Scale,41,1470,1179,1577,1188
21,Ho,43,1594,1195,1640,1199
22,',45,1643,1214,1653,1215
23,;,47,1665,1200,1675,1201
24,kg,49,1021,1271,1063,1273
25,(,51,1065,1275,1083,1276
26,PCS,53,1086,1273,1151,1276
27,89071.20,55,1086,1510,1696,1537
28,TA,57,1090,1553,1130,1551
29,AUR,59,988,1624,1055,1624
30,"0,160",61,1104,1598,1219,1598
31,aErf,63,1291,1600,1439,1601
32,-29.90,65,1510,1604,1703,1605
33,0.30,67,1104,1673,1215,1683
34,50.00,69,1248,1685,1456,1703
35,18.50,71,1496,1708,1694,1725
36,20.00,73,1344,1807,1455,1817
37,0.230,75,1088,1860,1207,1870
38,45.00,77,1340,1888,1455,1898
39,10.35,79,1590,1899,1703,1909
40,20.00,81,1336,1982,1447,1992
41,HITE,83,1004,1712,1094,1725
42,POOSAI,85,1116,1730,1270,1753
43,0.490,87,1096,1775,1208,1790
44,KARHTAI,89,974,1801,1121,1821
45,YELLOU,91,964,1893,1101,1909
46,POOSHI,93,1126,1911,1281,1929
47,UALAI,95,954,1992,1071,2002
48,THANDU,97,1102,2006,1241,2018
49,OHION,99,941,2104,1064,2114
50,BIG,101,1086,2116,1157,2122
51,SURAKKA,103,931,2199,1105,2207
52,POTATO,105,921,2301,1075,2308
53,14.00,107,1336,2084,1447,2094
54,14.00,109,1582,2104,1695,2114
55,ladies,111,903,2533,1047,2537
56,finger,113,1078,2541,1216,2545
57,CHOW,115,887,2651,986,2651
58,CHOW,117,1007,2651,1118,2651
59,BEETROOT,119,876,2773,1082,2773
60,GARLIC,121,864,2896,1021,2896
61,HADU,123,1045,2899,1157,2899
62,GINGER,125,856,3025,1014,3025
63,CARROT,127,842,3148,1002,3149
64,0.610,129,1055,2248,1174,2258
65,"45,00",131,1216,2262,1428,2281
66,27.45,133,1470,2283,1692,2302
67,.00,135,1368,2384,1437,2390
68,13.53,137,1578,2397,1704,2408
69,0.420,139,1033,2474,1156,2479
70,50.00,141,1305,2486,1428,2491
71,21.00,143,1567,2510,1690,2515
72,0.290,145,1023,2584,1140,2590
73,8.0011.02,147,1200,2594,1690,2620
74,0.260,149,1013,2705,1134,2710
75,"56,00",151,1187,2712,1412,2722
76,"14.5f,",153,1535,2728,1689,2735
77,0.230,155,1004,2831,1132,2835
78,"45,00",157,1287,2838,1411,2842
79,10.35,159,1571,2844,1692,2847
80,0.090,161,992,2951,1115,2954
81,90.008.10,163,1167,2955,1681,2966
82,0.130,165,982,3085,1115,3085
83,"57,00",167,1271,3085,1402,3085
84,0.450,169,976,3209,1112,3212
85,"75,00",171,1269,3211,1397,3214
86,33.75,173,1553,3218,1687,3221
87,0.160,175,970,3335,1100,3338
88,"55,008,80",177,1258,3340,1690,3349
89,0.080,179,956,3445,1090,3446
90,40.00,181,1139,3447,1386,3449
91,3.20,183,1448,3449,1681,3451
92,0.130,185,952,3594,1080,3596
93,55.00,187,1135,3598,1372,3602
94,.15,189,1427,3602,1677,3606
95,21,191,1112,3738,1158,3739
96,Total,193,1261,3742,1393,3745
97,"360,77",195,1511,3744,1675,3747
98,BIG,197,1102,3279,1184,3279
99,GREEN,199,826,3413,962,3407
100,CHILLI,201,988,3405,1140,3398
101,DRUM,203,748,3559,921,3544
102,STICK,205,943,3541,1067,3530
103,To,207,822,3874,860,3876
