Word_Count,Word,index,X1,Y1,X2,Y2
1,Amma,3,78,42,150,40
2,Supermarket,5,172,37,376,31
3,New,7,146,73,173,72
4,No.,9,184,72,208,71
5,"10,0ld",11,211,70,267,68
6,No.,13,278,69,303,68
7,"16,",15,308,67,331,66
8,Lakshui,17,127,92,190,90
9,Nagar,19,203,91,247,90
10,Main,21,259,89,297,88
11,Road,23,306,87,344,86
12,Velachery,25,194,112,279,108
13,Chennai,27,174,133,238,130
14,-600042,29,246,132,308,129
15,Phone:,31,156,153,220,151
16,9003158468,33,233,151,327,149
17,GSTIN:,35,16,199,70,198
18,33AAVFA146481Z0,37,81,197,224,193
19,BILL,39,226,214,263,215
20,Bill,41,14,238,51,238
21,No.,43,64,241,90,241
22,:,45,106,244,110,244
23,2017/C1/091017,47,122,236,255,236
24,Date&Time:,49,12,260,110,258
25,20/01/2018,51,123,260,218,258
26,06:,53,228,258,256,257
27,15:24,55,257,257,304,256
28,PM,57,314,256,333,256
29,Product,59,10,301,81,301
30,Name,61,93,302,133,302
31,ID,63,11,346,30,346
32,IDLY&DOSA,65,41,345,132,343
33,BATTER,67,142,343,201,342
34,1,69,214,342,218,342
35,65.00,71,259,341,307,340
36,Rate,73,267,299,305,298
37,Oty,75,354,296,383,295
38,Value,77,422,294,468,293
39,1,79,378,338,382,338
40,65.00,81,396,337,466,335
41,GODREJ,83,10,365,70,363
42,SHAV,85,79,363,119,362
43,CR,87,129,362,148,362
44,COOL,89,158,361,194,360
45,ME,91,207,360,227,359
46,25.00,93,244,359,305,357
47,25.00,95,319,357,467,353
48,AROKYA,97,10,390,71,389
49,MILK,99,81,389,121,388
50,24.00,101,261,384,309,382
51,1,103,381,382,386,382
52,24.00,105,400,381,471,378
53,3.000,107,342,427,391,425
54,114.00,109,422,424,473,422
55,Bi11,111,9,480,82,478
56,Amount,113,103,478,223,475
57,Received,115,7,506,90,502
58,Amount,117,110,504,171,501
59,Balance,119,5,530,79,527
60,Amount,121,101,528,162,525
61,114.00,123,318,473,425,467
62,120.00,125,366,493,418,486
63,6.00,127,381,512,417,509
64,DL,129,144,591,165,591
65,EOSE,131,165,588,205,588
66,YISIT,133,216,587,266,584
67,AGAIN,135,275,581,324,578
68,!!,137,336,577,350,576
