,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
12,1,1,Amma,3,78,37,150,40
31,0,2,Supermarket,5,172,37,376,31
27,6,3,New,7,142,67,173,72
33,5,4,No.,9,184,67,208,71
37,4,5,"10,0ld",11,211,67,267,68
51,3,6,No.,13,275,67,303,68
53,2,7,"16,",15,306,67,331,66
23,10,8,Lakshui,17,122,87,190,90
35,9,9,Nagar,19,203,87,247,90
47,8,10,Main,21,257,87,297,88
52,7,11,Road,23,306,87,344,86
34,11,12,Velachery,25,194,112,279,108
32,13,13,Chennai,27,172,132,238,130
44,12,14,-600042,29,244,132,308,129
28,15,15,Phone:,31,156,151,220,151
42,14,16,9003158468,33,233,151,327,149
9,17,17,GSTIN:,35,11,197,70,198
14,16,18,33AAVFA146481Z0,37,78,197,224,193
40,18,19,BILL,39,226,214,263,215
8,20,20,Bill,41,11,236,51,238
11,21,21,No.,43,64,236,90,241
19,22,22,:,45,101,236,110,244
21,19,23,2017/C1/091017,47,122,236,255,236
7,26,24,Date&Time:,49,11,256,110,258
22,27,25,20/01/2018,51,122,256,218,258
41,25,26,06:,53,226,256,256,257
45,24,27,15:24,55,257,256,304,256
54,23,28,PM,57,314,256,333,256
5,31,29,Product,59,5,294,81,301
16,32,30,Name,61,93,294,133,302
49,30,36,Rate,73,267,294,305,298
59,29,37,Oty,75,354,294,383,295
66,28,38,Value,77,422,294,468,293
6,39,31,ID,63,11,337,30,346
10,38,32,IDLY&DOSA,65,41,337,132,343
25,37,33,BATTER,67,142,337,201,342
38,36,34,1,69,211,337,218,342
46,35,35,65.00,71,257,337,307,340
61,34,39,1,79,378,337,382,338
64,33,40,65.00,81,396,337,466,335
4,46,41,GODREJ,83,5,357,70,363
13,45,42,SHAV,85,78,357,119,362
24,44,43,CR,87,129,357,148,362
29,43,44,COOL,89,156,357,194,360
36,42,45,ME,91,203,357,227,359
43,41,46,25.00,93,244,357,305,357
56,40,47,25.00,95,314,357,467,353
3,51,48,AROKYA,97,5,381,71,389
15,50,49,MILK,99,78,381,121,388
48,49,50,24.00,101,257,381,309,382
63,48,51,1,103,378,381,386,382
65,47,52,24.00,105,396,381,471,378
58,53,53,3.000,107,342,424,391,425
67,52,54,114.00,109,422,424,473,422
2,56,55,Bi11,111,5,473,82,478
18,55,56,Amount,113,101,473,223,475
55,54,61,114.00,123,314,473,425,467
60,57,62,120.00,125,366,493,418,486
1,59,57,Received,115,5,504,90,502
20,58,58,Amount,117,110,504,171,501
62,60,63,6.00,127,378,504,417,509
0,62,59,Balance,119,5,528,79,527
17,61,60,Amount,121,101,528,162,525
50,64,67,AGAIN,135,275,577,324,578
57,63,68,!!,137,336,577,350,576
26,67,64,DL,129,142,587,165,591
30,66,65,EOSE,131,165,587,205,588
39,65,66,YISIT,133,211,587,266,584
