Word_Count,Word,index,X1,Y1,X2,Y2
1,CVS,3,52,419,52,336
2,pharmacy,5,55,329,55,166
3,205,7,92,445,91,425
4,N.,9,91,415,90,399
5,HICHIGAN,11,90,393,88,325
6,STCHICAGO,13,88,317,85,218
7,IL,15,84,203,83,185
8,STORE,17,102,437,101,398
9,PHONE,19,102,388,101,349
10,#,21,101,347,101,341
11,;,23,103,337,103,335
12,312-938-4090,25,99,323,96,224
13,1,27,165,453,165,451
14,GAL,29,165,443,165,426
15,DAIRY,31,164,419,163,391
16,PUR,33,163,384,163,367
17,LH,35,163,359,163,348
18,M,37,162,343,162,336
19,128z,39,162,330,161,307
20,2.99B,41,161,296,160,256
21,IL,43,196,408,196,398
22,2.25%,45,196,391,196,361
23,TAX,47,195,356,195,337
24,TUTAL,49,206,409,206,379
25,CHARGE,51,216,410,216,376
26,2.99,53,185,282,184,258
27,OT,55,194,271,194,258
28,3.06,57,204,283,204,258
29,3.06,59,214,283,214,258
30,CH,61,225,270,225,258
31,Discover,63,236,453,236,407
32,Credit,65,235,399,235,364
33,KUR7405,67,235,353,234,248
34,00661R,69,248,391,246,355
35,REF,71,257,452,257,434
36,#,73,257,434,257,429
37,099103,75,257,422,257,386
38,TRAN,77,267,452,267,430
39,TYPER,79,267,425,267,395
40,SALE,81,267,388,267,364
41,1623010,83,278,372,278,331
42,NO,85,309,455,309,445
43,SIGNATURE,87,309,438,309,383
44,REQUIRED,89,309,376,309,328
45,CVM:,91,319,455,319,433
46,1E0300,93,319,423,319,388
47,TVRC,95,330,456,330,434
48,95:,97,330,432,330,409
49,0000008000,99,330,403,330,341
50,TSIC9B2:,101,341,456,341,409
51,6800,103,341,401,341,376
52,CHANGE,105,363,415,363,381
53,2504.,107,422,400,423,364
54,7818,109,423,361,424,326
55,0370,111,424,318,425,283
56,9100,113,424,275,425,240
57,96,115,425,231,425,214
58,CVS,117,445,459,445,435
59,Return,119,445,424,445,374
60,Polis,121,446,365,446,319
61,",",123,448,318,448,309
62,thru,125,447,295,447,263
63,0,127,448,252,448,245
64,/,129,448,235,448,229
65,07,131,448,226,448,211
66,/,133,449,208,449,202
67,2018,135,449,200,449,166
68,FEBRUARY,137,467,453,467,387
69,"6,",139,467,378,467,355
70,2018,141,467,349,467,310
71,7:37,143,469,244,469,211
72,PM,145,470,200,470,184
