,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
13,1,25,4781,51,118,190,117,166
89,0,90,to,181,434,190,438,175
2,5,8,IL,17,84,200,83,187
14,4,24,#,49,118,200,118,199
100,6,102,/,205,445,200,448,202
101,3,103,2018,207,445,200,449,166
107,2,108,PM,217,467,200,470,184
15,9,23,STR,47,118,226,118,207
83,8,85,96,171,424,226,426,211
98,10,100,/,201,445,226,448,229
99,7,101,07,203,445,226,448,211
25,13,35,1431,71,140,243,139,217
96,11,99,,199,445,243,448,237
97,14,98,0,197,445,243,448,246
106,12,107,7:37,215,467,243,469,211
26,15,34,#,69,140,255,140,249
27,17,33,*,67,140,255,142,257
88,16,89,subJect,179,434,255,438,203
29,21,32,"""",65,140,270,143,266
45,20,54,OT,109,194,270,194,260
54,19,57,,115,225,270,225,258
82,18,84,9100,169,424,270,426,237
28,26,31,"""",63,140,281,142,277
35,25,43,2.99B,87,162,281,161,253
43,24,53,2.99,107,185,281,184,258
50,22,55,3.06,111,205,281,204,257
52,23,56,3.06,113,215,281,215,258
3,27,7,CHICAGo.,15,84,292,84,209
16,30,22,0000094,45,118,292,120,241
32,29,30,"""",61,140,292,144,291
95,28,97,thru,195,445,292,448,263
18,31,21,#,43,118,305,123,300
84,33,83,0370,167,424,305,427,281
102,32,96,",",193,451,305,451,309
4,34,6,ST,13,84,317,88,302
8,35,13,312-938-4090,27,100,317,97,224
34,36,29,:,59,140,317,145,324
1,37,2,pharmacy,5,52,328,55,172
12,40,12,:,25,100,328,103,336
30,39,28,#,57,140,328,143,331
36,38,42,128z,85,162,328,163,305
9,46,11,#,23,100,338,102,341
17,42,20,CSHR,41,118,338,122,308
37,45,41,M,83,162,338,164,335
56,41,52,7409,105,225,338,226,316
87,44,88,receiPt.,177,434,338,437,274
104,43,106,2018,213,467,338,468,307
38,49,40,WH,81,162,355,165,347
46,47,48,TAX,97,194,355,195,337
81,48,82,7818,165,424,355,425,325
49,52,47,%,95,194,365,196,361
66,53,67,1523010,135,278,365,278,331
92,50,95,Policu,191,445,365,446,315
105,51,105,"6,",211,467,365,468,354
19,56,19,0910,39,124,377,123,349
31,55,27,Card,55,140,377,142,347
40,58,39,PUR,79,162,377,165,364
63,59,66,SALE,133,267,377,267,363
71,54,72,REQUIRED,145,309,377,309,327
86,57,87,with,175,434,377,436,350
5,65,5,MICHIGAN,11,90,387,88,325
10,61,10,PHONE,21,100,387,101,350
20,60,18,#,37,124,387,124,382
47,63,46,2.25,93,194,387,195,367
59,62,60,00661R,121,248,387,246,355
67,64,69,82269.51,139,299,387,299,346
44,73,44,SUBTOTAL,89,185,399,185,362
48,72,45,IL,91,194,399,196,398
51,71,49,TUTAL,99,205,399,206,379
57,67,59,CreditRRO7405,119,235,399,233,249
76,68,77,0000008000,155,330,399,330,341
77,69,79,E800,159,341,399,341,379
80,66,81,2504,163,424,399,425,368
93,70,94,turn,189,445,399,446,375
6,79,4,N,9,90,409,91,406
21,75,17,TRN,35,124,409,124,390
41,80,38,DAIRY,77,162,409,165,388
53,74,50,CHARGE,101,215,409,214,374
55,76,51,KECENNHN,103,225,409,226,346
79,77,80,CHANGE,161,363,409,363,381
94,78,93,@,187,445,409,447,410
0,81,1,CVS,3,52,419,52,336
61,82,63,099103,127,258,419,258,385
64,83,65,TYPE:,131,267,419,267,395
72,84,74,1E0300,149,319,419,319,387
91,85,92,R,185,445,419,445,418
11,89,9,STORE,19,100,431,102,399
22,88,16,09,33,124,431,126,421
62,87,62,#,125,258,431,258,428
69,90,71,SIGNATURE,143,309,431,309,383
74,86,76,95):,153,330,431,330,410
7,93,3,205,7,90,441,91,424
23,92,15,#,31,124,441,126,437
42,91,37,GAL,75,162,441,166,424
85,94,86,Returns,173,434,441,435,392
33,104,26,ExtraCare,53,140,451,143,388
39,99,36,1,73,162,451,165,450
58,98,58,Discover,117,235,451,236,407
60,95,61,REF,123,258,451,258,434
65,96,64,TRAN,129,267,451,267,428
68,100,68,TERMINL,137,299,451,299,406
70,103,70,NO,141,309,451,309,444
73,102,73,CVM:,147,319,451,319,433
75,101,75,TVRC,151,330,451,330,435
78,105,78,TSIC9B,157,341,451,341,421
90,106,91,CVS,183,445,451,445,435
103,97,104,FEBRUARY,209,467,451,467,386
24,107,14,REG,29,124,466,125,445
