,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
2,2,7,IL,15,84,200,83,185
65,1,67,2018,135,445,200,449,166
66,3,66,/,133,445,200,449,202
71,0,72,PM,145,467,200,470,184
56,5,57,96,115,422,226,425,214
61,6,64,/,129,445,226,448,229
63,4,65,07,131,445,226,448,211
64,8,63,0,127,445,244,448,245
70,7,71,7:37,143,467,244,469,211
21,10,27,OT,55,194,270,194,258
29,9,30,CH,61,225,270,225,258
55,11,56,9100,113,422,270,425,240
20,12,26,2.99,53,185,282,184,258
25,13,28,3.06,57,204,282,204,258
27,14,29,3.06,59,214,282,214,258
12,16,20,2.99B,41,161,295,160,256
60,15,62,thru,125,445,295,447,263
3,17,6,STCHICAGO,13,84,317,85,218
7,20,12,312-938-4090,25,99,317,96,224
54,19,55,0370,111,422,317,425,283
62,18,61,",",123,445,317,448,309
1,21,2,pharmacy,5,52,329,55,166
11,23,11,;,23,99,329,103,335
14,22,19,128z,39,161,329,161,307
8,25,10,#,21,99,343,101,341
13,24,18,M,37,161,343,162,336
68,26,70,2018,141,467,343,467,310
15,29,17,LH,35,161,353,163,348
22,28,23,TAX,47,194,353,195,337
30,27,33,KUR7405,67,235,353,234,248
53,30,54,7818,109,422,353,424,326
40,32,41,1623010,83,278,365,278,331
59,31,60,Polis,121,445,365,446,319
16,35,16,PUR,33,161,376,163,367
43,33,44,REQUIRED,89,309,376,309,328
67,34,69,"6,",139,467,376,467,355
4,40,5,HICHIGAN,11,90,388,88,325
10,37,9,PHONE,19,99,388,101,349
24,39,22,2.25%,45,194,388,196,361
33,38,34,00661R,69,248,388,246,355
39,36,40,SALE,81,267,388,267,364
23,45,21,IL,43,194,399,196,398
31,41,32,Credit,65,235,399,235,364
46,44,49,0000008000,99,330,399,330,341
50,43,51,6800,103,341,399,341,376
52,42,53,2504.,107,422,399,423,364
5,48,4,N.,9,90,409,90,399
26,46,24,TUTAL,49,204,409,206,379
28,47,25,CHARGE,51,214,409,216,376
51,49,52,CHANGE,105,363,409,363,381
0,50,1,CVS,3,52,419,52,336
17,51,15,DAIRY,31,161,419,163,391
36,52,37,099103,75,257,419,257,386
38,55,39,TYPER,79,267,419,267,395
44,53,46,1E0300,93,319,419,319,388
58,54,59,Return,119,445,419,445,374
9,58,8,STORE,17,99,432,101,398
35,57,36,#,73,257,432,257,429
41,59,43,SIGNATURE,87,309,432,309,383
48,56,48,95:,97,330,432,330,409
6,61,3,205,7,90,443,91,425
19,60,14,GAL,29,161,443,165,426
34,63,35,REF,71,257,443,257,434
37,62,38,TRAN,77,267,443,267,430
18,65,13,1,27,161,453,165,451
32,64,31,Discover,63,235,453,236,407
42,68,42,NO,85,309,453,309,445
45,67,45,CVM:,91,319,453,319,433
47,70,47,TVRC,95,330,453,330,434
49,69,50,TSIC9B2:,101,341,453,341,409
57,71,58,CVS,117,445,453,445,435
69,66,68,FEBRUARY,137,467,453,467,387
