Word_Count,Word,index,X1,Y1,X2,Y2
1,CVS,3,63,12,145,12
2,pharmacy,5,152,15,316,15
3,205,7,35,52,56,51
4,N,9,63,51,72,51
5,MICHIGAN,11,88,50,155,48
6,ST.CHICAGO,13,164,48,264,45
7,IL,15,277,44,295,43
8,STORE,17,45,63,82,62
9,PHONE,19,93,62,131,61
10,#,21,134,62,139,62
11,.,23,144,66,145,66
12,312-938-4090,25,158,60,256,57
13,CSHR,27,142,83,172,82
14,#,29,176,83,180,83
15,0000094,31,183,81,239,80
16,STR,33,250,79,273,78
17,#,35,276,78,281,78
18,4781,37,284,78,314,77
19,REG,39,14,85,36,84
20,,41,38,86,43,86
21,09,43,45,85,59,85
22,TRNII,45,70,85,99,84
23,0,47,101,84,108,84
24,9,49,110,83,116,83
25,1,51,119,83,122,83
26,0,53,126,83,132,83
27,Card,55,102,104,133,103
28,#,57,143,104,149,104
29,:,59,153,106,155,106
30,..,61,201,103,206,103
31,*,63,217,103,223,103
32,1,65,234,101,238,101
33,431,67,242,101,263,100
34,E,69,23,106,29,106
35,,71,31,109,37,109
36,t,73,41,106,44,106
37,r,75,47,108,52,108
38,a,77,54,108,60,108
39,Care,79,62,106,92,105
40,1,81,28,125,31,125
41,GAL,83,37,125,54,125
42,DAIRY,85,62,124,91,123
43,PUR,87,98,123,114,123
44,LH,89,122,123,132,123
45,M,91,140,122,146,122
46,1282,93,152,122,173,121
47,2.998,95,183,121,226,120
48,2.99,97,198,144,223,143
49,.07,99,206,155,222,154
50,3.06,101,199,164,223,164
51,3.06,103,199,175,223,175
52,,105,211,185,223,185
53,SUBTOTAL,107,74,146,119,145
54,IL,109,74,156,83,156
55,2.25,111,90,155,113,155
56,%,113,114,156,120,156
57,TAX,115,126,155,144,155
58,TUTFL,117,73,166,102,166
59,CHARGE,119,72,176,107,176
60,WEN,121,72,186,112,186
61,7409,123,143,186,165,186
62,Discover,125,29,196,74,196
63,CreditR7405,127,81,195,234,193
64,APPROVED,129,29,207,78,207
65,#,131,78,207,83,207
66,00661R,133,90,207,126,207
67,REF,135,29,218,46,218
68,#,137,48,218,52,218
69,099103,139,59,218,95,218
70,TRAN,141,30,227,52,227
71,TYPE,143,59,227,82,227
72,SALE,145,85,227,119,227
73,oIn,147,28,238,45,238
74,A0000001,149,57,238,110,238
75,523010,151,114,238,147,238
76,IC,153,30,248,38,248
77,225568CFB408895F,155,47,248,148,248
78,TERMINAL,157,28,259,72,259
79,82269451,159,86,259,134,259
80,NO,161,27,269,37,269
81,SIGNATURE,163,43,269,97,269
82,REQUIRED,165,104,269,153,269
83,CVM:,167,26,279,48,279
84,1E0300,169,58,279,94,279
85,TVRC,171,27,290,45,290
86,95):,173,49,290,72,290
87,0000008000,175,77,290,141,290
88,TSIC9B:,177,25,301,71,301
89,680o,179,77,301,103,301
90,CHANGE,181,66,323,100,323
91,.00,183,209,324,224,324
92,2504,185,83,384,113,385
93,7818,187,125,384,156,385
94,0370,189,168,386,200,387
95,9100,191,211,385,244,386
96,96,193,255,386,270,386
97,Returns,195,31,394,88,395
98,-,197,99,397,105,397
99,ith,199,109,395,132,395
100,r,201,142,397,148,397
101,ceiPt,203,159,396,199,397
102,",",205,204,401,207,401
103,subJect,207,220,397,278,398
104,to,209,291,398,306,398
105,CVS,211,22,403,43,403
106,Return,213,52,403,105,404
107,"Policu,",215,112,404,171,405
108,ru,217,179,405,216,405
109,04/07/2018,219,226,405,311,406
110,FEBRUARY,221,29,427,95,427
111,"6,",223,116,428,128,428
112,2018,225,142,428,174,428
113,7:37,227,238,429,270,430
114,PM,229,281,430,297,430
