,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
12,1,24,4781,49,79,44,78,20
82,0,83,to,167,394,44,398,29
2,4,8,IL,17,45,54,44,40
13,5,23,#,47,79,54,80,53
92,2,95,2018,191,404,54,408,21
93,6,94,/,189,404,54,408,57
99,3,100,PM,201,427,54,430,38
14,9,22,STR,45,79,80,79,61
77,7,78,96,157,384,80,386,65
89,10,92,/,185,404,80,407,83
91,8,93,07,187,404,80,407,65
90,12,91,0,183,404,98,407,92
98,11,99,7:37,199,427,98,429,65
42,15,36,,73,185,115,185,112
75,14,77,9100,155,384,115,386,91
81,13,82,subJect,165,394,115,398,57
33,16,33,OT,67,154,125,154,113
72,17,73,.00,147,323,125,323,109
3,21,7,"CHICAGo,",15,45,136,45,65
31,19,32,2.99,65,144,136,143,113
38,18,34,3.06,69,164,136,164,111
40,20,35,3.06,71,175,136,175,112
15,24,21,0000094,43,79,149,81,95
17,25,20,#,41,79,149,84,154
24,23,31,2.99B,63,121,149,120,109
88,22,90,thru,181,404,149,406,117
4,28,6,ST,13,45,166,49,157
76,27,76,0370,153,384,166,387,135
94,26,89,",",179,411,166,411,163
1,30,2,pharmacy,5,12,176,15,26
8,29,12,312-938-4090,25,60,176,57,78
26,31,30,128z,61,121,176,121,162
10,37,11,",",23,60,192,62,189
16,33,19,CSHR,39,79,192,83,162
25,36,29,H,59,121,192,122,189
43,32,45,7409,91,185,192,186,170
80,35,81,receiPt.,163,394,192,397,128
97,34,98,2018,197,427,192,428,161
28,40,28,LH,57,121,209,123,201
36,38,41,TAX,83,154,209,155,191
74,39,75,7818,151,384,209,385,179
37,43,40,%,81,154,219,156,215
58,44,59,1523010,119,238,219,238,185
86,41,88,Policu,177,404,219,406,169
96,42,97,"6,",195,427,219,428,208
19,46,18,0910,37,85,230,85,202
27,48,27,PUR,55,121,230,123,219
62,45,64,REQUIRED,129,269,230,269,182
79,47,80,with,161,394,230,396,204
5,55,5,MICHIGAN,11,51,240,49,180
9,51,10,PHONE,21,60,240,61,204
21,49,17,#,35,85,240,86,235
35,53,39,2.25,79,154,240,155,221
48,52,50,00661R,101,208,240,206,209
56,50,58,SALE,117,227,240,227,217
59,54,61,82269951,123,259,240,259,200
32,62,37,SUBTOTAL,75,144,253,145,218
34,66,38,IL,77,154,253,155,252
39,64,42,TUTAL,85,164,253,166,233
45,57,47,CreditRROR7405,95,195,253,193,103
47,65,48,D,97,208,253,208,256
49,60,49,#,99,208,253,209,252
53,59,55,103,111,218,253,218,239
66,58,69,0000008000,139,290,253,290,192
69,61,71,E800,143,301,253,301,233
73,56,74,2504,149,384,253,385,222
85,63,87,turn,175,404,253,405,229
6,72,4,N,9,51,263,52,263
18,69,16,TRN,33,85,263,84,243
41,67,43,CHARGE,87,175,263,174,228
44,70,44,KECENNHN,89,185,263,186,200
51,68,54,",",109,218,263,218,257
71,73,72,CHANGE,145,323,263,323,234
87,71,86,@,173,404,263,406,264
0,74,1,CVS,3,12,273,12,190
29,75,26,DAIRY,53,121,273,123,244
50,76,53,Oy,107,218,273,218,264
57,77,57,TYPE:,115,227,273,227,249
64,78,66,1E0300,133,279,273,279,241
68,79,68,95:,137,290,273,290,263
84,80,85,R,171,404,273,404,272
11,83,9,STORE,19,60,287,62,252
20,82,15,09,31,85,287,86,274
23,85,14,#,29,85,287,87,291
54,81,52,#,105,218,287,218,282
61,84,63,SIGNATURE,127,269,287,269,237
7,86,3,205,7,51,299,52,278
30,92,25,1GAL,51,121,299,124,281
46,91,46,Discover,93,195,299,196,261
52,88,51,REF,103,218,299,218,288
55,89,56,TRAN,113,227,299,227,282
60,93,60,TERMINL,121,259,299,259,260
78,87,79,Returns,159,394,299,395,246
95,90,96,FEBRUARY,193,427,299,427,240
63,96,62,NO,125,269,309,269,299
65,95,65,CVM:,131,279,309,279,287
67,94,67,TVRC,135,290,309,290,279
70,97,70,TSIC9B,141,301,309,301,275
83,98,84,CVS,169,404,309,404,290
22,99,13,REG,27,85,320,86,298
