Word_Count,Word,index,X1,Y1,X2,Y2
1,GONGURAA,3,159,124,286,130
2,No.,5,44,147,74,148
3,"143,",7,81,148,121,149
4,M.G.R.,9,136,150,203,152
5,"Salai,",11,214,154,273,155
6,Kandanchavadi,13,287,153,422,156
7,"Perungudi,",15,124,174,230,176
8,Chennai-96,17,244,176,350,178
9,GSTIN,19,113,199,168,199
10,No-33AYXPP05376125,21,180,201,371,201
11,CASH,23,192,225,233,226
12,Bill,25,245,226,283,227
13,BilINo,27,6,248,73,248
14,:92834,29,88,248,165,248
15,Date,31,176,248,220,248
16,09-01-2018-04:33:PM,33,245,248,456,248
17,Item,35,10,299,54,298
18,Name,37,68,299,112,298
19,aty,39,224,297,254,297
20,Rate,41,287,297,328,297
21,GST,43,351,296,382,296
22,Amount,45,405,296,471,296
23,TEA,47,10,350,44,347
24,1,49,238,343,243,343
25,14.295,51,257,343,370,343
26,14.29,53,387,343,471,343
27,Gross,55,192,392,244,392
28,Amount,57,256,391,317,391
29,:,59,334,392,337,392
30,CGST2.5,61,224,414,297,414
31,%,63,299,414,308,414
32,:,65,324,416,326,416
33,SGST2.5,67,225,438,297,438
34,%,69,298,438,308,438
35,:,71,324,440,326,440
36,14.29,73,420,392,471,392
37,0.36,75,418,414,461,416
38,0.36,77,418,439,461,440
39,Net,79,203,462,233,462
40,Amount,81,243,462,306,462
41,15.00,83,338,462,438,462
42,Total,85,267,511,315,512
43,Qty,87,331,511,361,512
44,1.00,89,376,512,416,513
45,No.Of.Items,91,16,523,135,513
46,Thank,93,86,557,135,557
47,You.Visit,95,148,557,285,557
48,Again,97,298,557,347,557
49,!!!,99,361,557,391,557
50,SnETWARE-WWW.,101,53,582,189,582
51,KASSAPOS.,103,193,581,284,581
52,IN-8754031480,105,290,581,427,581
