,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
14,0,1,GONGURAA,3,159,124,286,130
4,1,2,No.,5,44,147,74,148
7,2,3,"143,",7,81,147,121,149
12,3,4,M.G.R.,9,136,147,203,152
21,5,5,"Salai,",11,214,147,273,155
34,4,6,Kandanchavadi,13,287,147,422,156
11,6,7,"Perungudi,",15,124,174,230,176
27,7,8,Chennai-96,17,244,174,350,178
10,8,9,GSTIN,19,113,199,168,199
16,9,10,No-33AYXPP05376125,21,176,199,371,201
17,10,11,CASH,23,192,225,233,226
29,11,12,Bill,25,244,225,283,227
0,12,13,BilINo,27,6,248,73,248
9,13,14,:92834,29,88,248,165,248
15,14,15,Date,31,176,248,220,248
28,15,16,09-01-2018-04:33:PM,33,244,248,456,248
2,20,17,Item,35,6,296,54,298
6,21,18,Name,37,68,296,112,298
22,18,19,aty,39,224,296,254,297
33,19,20,Rate,41,287,296,328,297
44,16,21,GST,43,351,296,382,296
48,17,22,Amount,45,405,296,471,296
1,25,23,TEA,47,6,343,44,347
25,24,24,1,49,238,343,243,343
31,22,25,14.295,51,256,343,370,343
47,23,26,14.29,53,387,343,471,343
18,27,27,Gross,55,192,391,244,392
30,26,28,Amount,57,256,391,317,391
42,28,29,:,59,331,391,337,392
51,29,36,14.29,73,418,391,471,392
23,30,30,CGST2.5,61,224,414,297,414
38,31,31,%,63,298,414,308,414
40,33,32,:,65,324,414,326,416
50,32,37,0.36,75,418,414,461,416
24,34,33,SGST2.5,67,224,438,297,438
37,35,34,%,69,298,438,308,438
39,37,35,:,71,324,438,326,440
49,36,38,0.36,77,418,438,461,440
20,38,39,Net,79,203,462,233,462
26,39,40,Amount,81,238,462,306,462
43,40,41,15.00,83,338,462,438,462
32,41,42,Total,85,267,511,315,512
41,42,43,Qty,87,331,511,361,512
46,43,44,1.00,89,376,511,416,513
3,44,45,No.Of.Items,91,16,523,135,513
8,45,46,Thank,93,81,557,135,557
13,46,47,You.Visit,95,148,557,285,557
36,47,48,Again,97,298,557,347,557
45,48,49,!!!,99,361,557,391,557
5,51,50,SnETWARE-WWW.,101,53,581,189,582
19,49,51,KASSAPOS.,103,192,581,284,581
35,50,52,IN-8754031480,105,287,581,427,581
