Word_Count,Word,index,X1,Y1,X2,Y2
1,Toysus,3,222,194,638,158
2,510-353-1107,5,360,354,500,346
3,"Frenont,",7,370,409,461,401
4,CA,9,478,402,502,400
5,STORE-58:2,11,100,525,221,524
6,REGISTER-98,13,234,523,394,522
7,CASHIER,15,396,521,480,521
8,2249219,17,482,523,567,522
9,TRANSACTION-9703:5,19,96,554,319,554
10,DATE-01/05/18,21,346,552,507,552
11,TIME-04:45PM,23,534,553,681,553
12,REFUND,25,714,522,789,519
13,RECEIPT,27,90,658,178,656
14,:,29,191,656,214,656
15,INTERNET,31,221,656,327,654
16,ORDER,33,340,653,404,652
17,9000536029706024,35,417,652,620,648
18,1.,37,116,690,132,690
19,LEGO,39,146,690,203,689
20,CITY,41,211,689,262,688
21,LDRTRCK,43,289,687,405,685
22,6010,45,420,685,470,684
23,20.59-11,47,625,683,727,687
24,0673413247863,49,154,730,320,726
25,SUBTOTAL,51,85,804,187,802
26,IC,53,216,801,240,801
27,1,55,270,801,279,801
28,1,57,89,841,104,841
29,9.250%,59,126,840,221,837
30,TAX,61,243,836,316,834
31,TOTAL,63,85,877,211,878
32,VISAwx,65,96,916,178,912
33,20.59-,67,632,794,707,789
34,2.50-,69,645,827,710,821
35,23.09-,71,637,898,716,895
36,0.00,73,658,969,714,971
37,23.09,75,555,865,675,858
38,REFUND,77,68,990,151,988
39,DUE,79,166,988,205,987
40,555322939703800503,81,323,1150,586,1166
