,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
17,0,1,Toysus,3,221,194,638,158
25,1,2,510-353-1107,5,360,354,500,346
26,3,3,"Frenont,",7,370,402,461,401
30,2,4,CA,9,478,402,502,400
7,8,5,STORE-58:2,11,96,521,221,524
18,6,6,REGISTER-98,13,234,521,394,522
27,4,7,CASHIER,15,396,521,480,521
31,7,8,2249219,17,478,521,567,522
39,5,12,REFUND,25,714,521,789,519
6,11,9,TRANSACTION-9703:5,19,96,552,319,554
24,9,10,DATE-01/05/18,21,346,552,507,552
32,10,11,TIME-04:45PM,23,534,552,681,553
4,16,13,RECEIPT,27,85,652,178,656
13,14,14,:,29,191,652,214,656
16,15,15,INTERNET,31,221,652,327,654
23,13,16,ORDER,33,340,652,404,652
28,12,17,9000536029706024,35,417,652,620,648
8,22,18,1.,37,116,683,132,690
10,21,19,LEGO,39,146,683,203,689
14,20,20,CITY,41,211,683,262,688
21,19,21,LDRTRCK,43,289,683,405,685
29,18,22,6010,45,417,683,470,684
34,17,23,20.59-11,47,625,683,727,687
11,23,24,0673413247863,49,154,730,320,726
15,25,26,IC,53,211,794,240,801
20,26,27,1,55,270,794,279,801
35,24,33,20.59-,67,632,794,707,789
2,27,25,SUBTOTAL,51,85,804,187,802
19,29,30,TAX,61,243,827,316,834
37,28,34,2.50-,69,645,827,710,821
3,31,28,1,57,85,840,104,841
9,30,29,9.250%,59,126,840,221,837
33,32,37,23.09,75,555,865,675,858
1,33,31,TOTAL,63,85,877,211,878
36,34,35,23.09-,71,632,898,716,895
5,35,32,VISAwx,65,96,916,178,912
38,36,36,0.00,73,658,969,714,971
0,38,38,REFUND,77,68,988,151,988
12,37,39,DUE,79,166,988,205,987
22,39,40,555322939703800503,81,323,1150,586,1166
