,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
38,0,2,INVOICE,5,1275,211,1714,192
30,1,1,TAX,3,1030,229,1206,221
50,2,6,"Pvt,itd.",13,1714,366,2212,344
36,3,5,Retali,11,1266,386,1636,370
14,5,3,Brown,7,578,409,898,397
27,4,4,Tree,9,971,409,1210,399
59,6,11,"-2,",23,2306,515,2478,507
55,7,10,Park,21,1975,528,2234,517
40,8,9,Business,19,1399,555,1910,533
9,9,7,RMZ,15,456,584,646,576
18,10,8,Millennium,17,704,584,1338,556
52,11,14,Road,29,1847,708,2113,696
41,12,13,Dr.MGR,27,1399,726,1777,710
26,13,12,"No""143,",25,951,751,1377,732
32,14,15,Perungudi,31,1142,895,1715,895
43,15,17,600096,35,1439,1057,1890,1047
22,16,16,Chennai,33,881,1070,1327,1060
24,17,19,U52100TN2011P1C079924,39,881,1257,2250,1236
12,18,18,CIN:,37,560,1271,804,1267
37,19,22,33761424943,45,1275,1430,1988,1430
19,20,20,TIN,41,758,1444,944,1444
29,21,21,NO:,43,1014,1444,1193,1444
31,22,25,1051189/1.04.2011,51,1086,1608,2179,1608
16,23,23,CST,47,618,1624,815,1624
23,24,24,NO:,49,881,1624,1063,1626
2,25,26,Date,53,215,1795,473,1795
13,26,27,30-Jan-18,55,571,1795,1383,1795
44,27,28,08:45,57,1480,1795,1981,1795
56,28,29,PM,59,2031,1795,2172,1795
3,31,30,Bili,61,215,1979,467,1986
20,30,32,C02049671,65,812,1979,1394,1979
47,29,33,User:ownerl,67,1669,1979,2379,1979
11,32,31,No:,63,546,1991,732,1991
4,33,34,Cus.,69,222,2173,455,2173
10,34,35,Name:,71,479,2173,791,2173
8,35,36,MALASPINEAPPL,73,422,2706,1337,2706
39,36,37,-,75,1363,2706,1403,2706
46,37,38,1,77,1547,2706,1600,2706
51,39,39,105.00,79,1736,2706,2131,2708
60,38,40,105.00,81,2337,2706,2726,2706
42,42,45,1,91,1439,2868,1570,2875
48,41,46,5.00,93,1680,2868,2115,2870
58,40,47,5.00,95,2249,2868,2736,2862
21,44,43,MANGO,87,868,2879,1193,2880
34,43,44,B,89,1248,2879,1325,2878
1,46,41,2,83,206,2891,272,2892
7,45,42,NATURO.,85,353,2891,840,2885
5,48,48,Total,97,222,3269,534,3278
54,49,53,Rs.,107,1948,3269,2134,3278
61,47,54,110.00,109,2369,3269,2776,3269
17,50,49,Item:,99,618,3280,921,3280
28,52,50,2,101,1001,3280,1068,3284
35,53,51,Net,103,1266,3280,1463,3289
45,51,52,Amt:,105,1541,3280,1797,3284
6,54,55,GST12,111,242,3820,567,3832
49,55,56,98.21,113,1680,3854,2024,3854
62,56,57,5.89,115,2513,3854,2794,3854
0,57,58,PRICE,117,150,4346,490,4354
15,58,59,INCL,119,578,4346,824,4361
25,59,60,"TAX,",121,881,4364,1157,4371
33,60,61,PERISHABLE,123,1219,4364,1886,4387
53,61,62,NO,125,1948,4389,2097,4393
57,62,63,RETURN,127,2162,4389,2583,4404
