Word_Count,Word,index,X1,Y1,X2,Y2
1,Your,3,337,2697,333,2504
2,Usage,5,331,2488,326,2244
3,Details,7,324,2218,318,1941
4,MR.,9,513,2703,511,2591
5,JAYA,11,511,2573,509,2410
6,PARAKASH,13,509,2390,504,2038
7,Bill,15,613,2711,613,2643
8,Period,17,613,2632,613,2504
9,20.12.17,19,668,2715,666,2574
10,to,21,666,2561,666,2530
11,19.01.18,23,666,2516,664,2375
12,9884928325,25,664,2342,661,2075
13,Vodafone,27,605,2291,601,2093
14,No,29,601,2073,600,2030
15,Pulse,31,599,1992,595,1821
16,Rate,33,595,1801,593,1721
17,Dynamic,35,597,1044,595,865
18,Credit,37,595,853,593,731
19,Limit,39,593,721,592,617
20,VF,41,656,1929,656,1892
21,2,43,656,1876,656,1869
22,VF,45,656,1844,656,1813
23,60,47,654,1795,654,1758
24,Seconds,49,654,1748,653,1605
25,and,51,652,1588,651,1535
26,VF,53,652,1517,652,1486
27,2,55,652,1470,652,1455
28,Others,57,652,1438,651,1336
29,60,59,649,1318,649,1279
30,Seconds,61,649,1271,648,1128
31,Rs,63,647,1086,646,1000
32,2700,65,647,991,646,905
33,(for,67,645,887,644,834
34,details,69,645,824,644,714
35,refer,71,643,704,642,626
36,page,73,643,609,642,539
37,2),75,641,522,641,491
38,Your,77,749,1635,749,1545
39,Postpald,79,749,1537,749,1380
40,Plan,81,749,1369,749,1287
41,Call,83,830,1887,829,1815
42,Rates,85,830,1803,829,1701
43,@,87,879,1876,879,1857
44,Home,89,879,1844,878,1770
45,Circle),91,877,1757,876,1669
46,Incoming,93,938,1887,936,1716
47,Outgoing,95,989,1889,996,1720
48,To,97,1058,1889,1058,1846
49,Vodafone,99,1060,1836,1059,1669
50,Mobile,101,1058,1659,1057,1545
51,To,103,1119,1891,1119,1848
52,Other,105,1119,1836,1119,1738
53,Mobile,107,1117,1726,1117,1612
54,To,109,1180,1891,1180,1848
55,Landline,111,1180,1834,1180,1687
