,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
29,0,1,NO.6.,3,122,70,164,71
41,1,2,IANDEESWARAM,5,170,70,299,73
79,2,3,MAIN,7,304,70,346,74
93,3,4,RDAD,9,352,70,387,75
17,4,5,user,11,83,119,121,120
30,5,6,la:,13,122,119,148,120
37,6,7,ANTONY.J,15,156,119,237,121
15,7,8,PH:22433444.22434000.42022999,17,51,133,331,136
39,8,9,CREDIE,19,170,153,250,153
65,9,10,CARD-BI,21,260,153,368,153
12,12,12,B111,25,44,169,86,169
19,11,13,No,27,94,169,117,169
33,10,14,CC24056,29,146,169,224,169
71,13,11,Date:23/09/2017,23,274,169,423,169
13,14,15,counter:CLI1,31,44,187,165,187
63,15,16,Time:3:21:38,33,250,187,372,185
94,16,17,PM,35,382,187,402,187
10,18,18,Particulars,37,44,222,158,223
72,19,19,Rate,39,281,222,320,224
83,20,20,Qty,41,335,222,368,224
96,17,21,Amount,43,398,222,458,221
11,22,22,TOILET,45,44,258,106,259
28,26,23,DESCAL,47,114,258,175,260
44,25,24,ER,49,177,258,198,260
49,27,25,500M,51,206,258,249,260
69,24,26,40.00,53,274,258,324,260
88,23,27,1.00,55,343,258,382,259
102,21,28,40.00,57,413,258,465,258
9,29,29,MODERN,59,44,278,105,279
27,30,30,FAMILY,61,114,278,178,279
47,31,31,SANDWI,63,185,278,246,279
67,32,32,30.00,65,274,278,324,279
89,33,33,1.00,67,343,278,382,279
101,28,34,30.00,69,413,278,466,278
7,40,35,LATTA,71,38,297,94,299
21,36,36,RING,73,104,297,146,298
36,39,37,MURUKKU,75,156,297,228,299
59,35,38,2,77,239,297,248,298
66,38,39,47.00,79,274,297,325,298
91,37,40,1.00,81,343,297,383,298
103,34,41,47.00,83,413,297,467,297
6,47,42,GODREJ,85,38,316,104,318
25,43,43,AER,87,114,316,145,317
35,44,44,POCKET,89,156,316,216,317
54,45,45,BA,91,227,316,248,317
70,46,46,54.00,93,274,316,325,317
86,41,47,2.00,95,343,316,383,316
98,42,48,108.00,97,407,316,466,316
8,54,49,INDICA,99,38,336,103,337
26,53,50,CREME,101,114,336,166,337
42,52,51,HAIR,103,177,336,217,336
55,50,52,CO,105,227,336,248,336
68,51,53,34.00,107,274,336,325,336
90,48,54,1.00,109,343,336,384,336
104,49,55,34.00,111,413,336,467,336
1,59,56,NESTLE,113,38,355,102,356
23,62,57,",",115,104,355,111,357
24,61,58,MUNCH,117,114,355,166,357
43,60,59,MAHA,119,177,355,218,356
56,57,60,15,121,227,355,249,355
74,58,61,5.00,123,281,355,326,355
87,56,62,2.00,125,343,355,385,355
105,55,63,10.00,127,413,355,468,355
0,67,64,I,129,31,394,36,397
5,69,65,tems:,131,38,394,91,397
20,68,66,6.00,133,104,394,147,396
45,66,67,Tot,135,185,394,213,396
52,65,68,Qty:,137,227,394,266,396
76,64,69,8.00,139,287,394,329,394
99,63,70,269.00,141,407,394,469,394
48,72,71,CREDIT,143,206,435,267,436
73,73,72,CARD,145,281,435,323,436
81,70,73,AMT,147,335,435,364,435
95,71,74,269.00,149,398,435,461,435
31,76,75,BILLED,151,138,455,201,457
57,75,76,CHECKED,153,233,455,311,456
85,74,77,DELIVERED,155,335,455,437,454
61,78,78,Thank,157,250,479,303,479
80,77,79,You,159,315,479,347,479
4,84,80,Goods,161,38,499,94,502
22,86,81,once,163,104,499,149,505
38,82,82,sold,165,156,499,205,501
50,85,83,can,167,216,499,249,504
64,80,84,not,169,260,499,290,500
78,83,85,be,171,304,499,325,502
84,81,86,taken,173,335,499,391,500
97,79,87,back,175,398,499,443,499
2,92,88,Exchange,177,38,518,127,523
32,93,89,within,179,138,518,206,524
51,90,90,7,181,216,518,227,523
58,91,91,Days,183,239,518,283,524
77,88,92,for,185,297,518,327,522
82,89,99,unused,199,335,518,403,521
100,87,100,product,201,413,518,486,517
3,95,93,with,187,38,544,83,546
18,96,94,Bi11,189,94,544,135,546
34,99,95,&,191,146,544,160,547
40,97,96,price,193,170,544,228,546
60,98,97,tag,195,239,544,272,546
75,94,98,inact.,197,281,544,345,544
14,105,101,o,203,51,563,60,570
16,104,102,Guarantee,205,72,563,171,566
46,102,103,for,207,185,563,216,566
53,103,104,&,209,227,563,238,567
62,101,105,imported,211,250,563,338,564
92,100,106,items.,213,352,563,410,562
