,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
20,0,1,NO.6.,3,98,44,144,44
35,1,2,DHANDEESWARAM,5,158,44,285,44
79,2,3,MAIN,7,295,44,333,45
92,3,4,ROAD,9,343,44,381,46
53,4,5,VELACHER,11,213,60,332,60
11,6,6,GSTIN,13,39,78,87,79
19,5,7,33AABFL6568K121,15,98,78,245,78
15,7,8,UserId:,17,73,97,140,97
33,8,9,V.VIJAY,19,152,97,221,97
2,10,10,"PH:22433444,22434000,",21,29,113,236,116
61,9,11,42022999,23,237,113,320,113
32,11,12,CASH-COUPON-BILL,25,152,134,389,129
1,15,14,8111,29,29,153,66,153
16,13,15,No,31,79,153,96,153
28,12,16,SP10039,33,125,153,206,153
70,14,13,Date:08/11/2017,27,258,153,411,146
4,18,17,counter:LAT10,35,29,168,162,173
60,17,18,Time:8:51:08,37,237,168,356,167
93,16,19,PM,39,366,168,386,167
3,22,20,Particulars,41,29,207,143,210
71,21,21,Rate,43,265,207,303,208
85,20,22,Oty,45,317,207,352,207
96,19,23,Amount,47,383,207,442,206
5,29,24,NESTLE,49,29,243,93,247
22,28,25,LACTOGEN,51,104,243,183,247
43,26,26,3,53,194,243,203,247
51,27,27,50,55,213,243,232,247
64,25,28,275.00,57,245,243,307,245
89,24,29,1.00,59,327,243,365,245
99,23,30,275.00,61,383,243,447,242
6,35,31,MOTHER,63,29,263,94,266
26,33,32,PUNJABI,65,104,263,172,265
41,34,33,PACHR,67,184,263,232,265
65,32,34,92.00,69,258,263,307,264
88,31,35,1.00,71,327,263,365,264
102,30,36,92.00,73,396,263,447,262
8,41,37,SELLAM,75,29,282,95,285
25,40,38,VATHA,77,104,282,154,284
37,39,39,KULAMBU,79,164,282,233,284
67,38,40,34.00,81,258,282,307,283
87,37,41,1.00,83,327,282,366,283
103,36,42,34.00,85,396,282,447,281
7,48,43,SELLAM,87,29,301,95,304
23,44,44,SESAME,89,104,301,164,302
40,45,45,IDLI,91,175,301,212,303
54,46,46,P,93,224,301,233,303
68,47,47,28.00,95,258,301,308,302
86,43,48,1.00,97,327,301,366,302
104,42,49,28.00,99,396,301,448,300
10,55,50,SUNDAKA,101,29,319,105,323
27,54,51,VATHAL,103,115,319,174,321
42,53,52,100,105,184,319,214,321
55,51,53,G,107,224,319,234,321
69,52,54,30.00,109,258,319,308,320
91,50,55,1.00,111,327,319,366,320
105,49,56,30.00,113,396,319,448,318
9,61,57,NESTLE,115,29,338,95,341
24,60,58,KITKAT,117,104,338,164,340
39,58,59,DESSER,119,175,338,234,339
66,59,60,54.00,121,258,338,308,339
90,57,61,1.00,123,327,338,366,339
106,56,62,54.00,125,396,338,448,337
0,67,63,Items:,127,29,377,85,380
18,66,64,6.00,129,98,377,139,379
38,64,65,Tot,131,175,377,202,377
52,65,66,oty:,133,213,377,250,377
75,62,67,6.00,135,271,377,310,376
98,63,68,513.00,137,383,377,447,377
47,70,69,Tendered,139,194,415,274,415
77,68,70,Amt:,141,279,415,321,415
97,69,79,13.00,159,383,415,434,415
45,72,71,Cash,143,194,433,234,434
62,73,72,Amt:,145,245,433,282,434
100,71,80,13.00,161,383,433,437,433
44,76,73,COUPON,147,194,453,254,454
72,74,74,AMOUNT:,149,265,453,333,453
94,75,75,500.00,151,376,453,438,453
46,79,76,CREDIT,153,194,473,254,473
73,77,77,CARD,155,265,473,305,473
82,78,78,AMT,157,317,473,345,473
29,82,81,BILLED,163,132,493,194,494
48,83,82,/,165,205,493,214,495
57,81,83,CHECKED,167,224,493,296,493
81,80,84,/DELIVERED,169,308,493,419,492
59,85,85,Thank,171,237,513,286,513
80,84,86,You,173,295,513,327,512
13,89,87,Goods,175,39,532,91,534
21,93,88,once,177,98,532,142,537
34,91,89,sold,179,152,532,194,536
49,92,90,can,181,205,532,236,537
63,90,91,not,183,245,532,275,535
78,87,92,be,185,288,532,307,533
84,88,93,taken,187,317,532,369,532
95,86,94,back,189,376,532,420,532
12,99,95,Exchange,191,39,551,122,553
30,100,96,within,193,132,551,195,554
50,97,97,7,195,205,551,215,553
56,98,98,Days,197,224,551,267,553
76,96,99,for,199,279,551,307,552
83,94,100,unused,201,317,551,379,550
101,95,101,product,203,390,551,461,550
14,105,102,with,205,39,571,80,574
17,102,103,Bil1,207,91,571,130,574
31,103,104,&,209,143,571,153,574
36,104,105,price,211,164,571,215,574
58,106,106,tas,213,224,571,257,574
74,101,107,inact.,215,265,571,325,571
