Word_Count,Word,X1,Y1,X2,Y2,Word_Count
1.0,LAIA,97,55,142,56,1.0
2.0,SUPER,151,56,197,57,2.0
3.0,HARKE,207,57,249,58,3.0
4.0,I,256,58,261,58,4.0
5.0,NO.,83,70,98,70,5.0
6.0,6.,101,71,111,71,6.0
7.0,DHIANDEESWARAN,116,71,201,74,7.0
8.0,MAIN,207,74,231,75,8.0
9.0,ROAD,237,75,261,76,9.0
10.0,VELACHE,158,90,219,91,10.0
11.0,RV,225,92,242,92,11.0
12.0,userld:,56,118,99,119,12.0
13.0,ANTONY.J,108,119,159,120,13.0
14.0,"PH:22433444,22434000,-42022999",34,134,221,137,14.0
15.0,CREDII,114,152,170,152,15.0
16.0,CARD,178,152,218,152,16.0
17.0,B11,228,152,254,152,17.0
18.0,BI1I,32,169,58,169,18.0
19.0,No:,67,169,91,169,19.0
20.0,CC24056,106,169,153,169,20.0
21.0,Date:23/09/2017,186,169,284,169,21.0
22.0,counter:ce:3:21:38,33,185,247,181,22.0
23.0,P,256,180,260,180,23.0
24.0,Particulars,31,222,106,222,24.0
25.0,Rate,188,223,214,222,25.0
26.0,Qty,227,222,247,222,26.0
27.0,Amount,268,221,307,220,27.0
28.0,TOILET,31,259,71,259,28.0
29.0,DESCALER,79,259,132,259,29.0
30.0,500M,140,259,167,259,30.0
31.0,40.00,184,259,217,259,31.0
32.0,1.00,231,259,256,259,32.0
33.0,40.00,278,257,312,257,33.0
34.0,MODERN,29,278,70,278,34.0
35.0,FAMILY,78,278,119,278,35.0
36.0,SANDWI,126,278,165,278,36.0
37.0,30.00,184,278,217,278,37.0
38.0,1.00,231,278,257,278,38.0
39.0,30.00,278,277,313,277,39.0
40.0,LATTA,28,297,63,297,40.0
41.0,RING,70,297,98,297,41.0
42.0,MURUKKU,105,297,152,297,42.0
43.0,2,160,297,166,297,43.0
44.0,47.00,184,297,218,297,44.0
45.0,1.00,231,297,256,297,45.0
46.0,47.00,278,296,312,296,46.0
47.0,GODREJ,27,316,69,316,47.0
48.0,AER,77,316,97,316,48.0
49.0,POCKET,105,316,144,316,49.0
50.0,BA,153,316,166,316,50.0
51.0,54.00,184,316,218,316,51.0
52.0,2.00,230,316,257,316,52.0
53.0,108.00,273,315,313,315,53.0
54.0,INDICA,28,336,69,336,54.0
55.0,CREME,76,336,110,336,55.0
56.0,HAIR,119,335,145,335,56.0
57.0,CO,153,335,167,335,57.0
58.0,34.00,184,335,219,335,58.0
59.0,1.00,232,335,258,335,59.0
60.0,34.00,279,335,314,335,60.0
61.0,NESTLE,26,356,68,355,61.0
62.0,MUNCH,76,355,111,355,62.0
63.0,MAHA,119,356,146,356,63.0
64.0,15,155,354,167,354,64.0
65.0,5.00,191,354,219,354,65.0
66.0,2.00,231,354,258,354,66.0
67.0,10.00,280,354,314,354,67.0
68.0,Items:,20,397,60,396,68.0
69.0,6.00,69,396,98,396,69.0
70.0,Tot,124,395,143,395,70.0
71.0,Qty:,152,395,178,395,71.0
72.0,8.00,192,394,220,394,72.0
73.0,269.00,273,391,316,393,73.0
74.0,CREDIT,139,436,179,435,74.0
75.0,CARD,189,435,217,435,75.0
76.0,AMT,225,435,244,435,76.0
77.0,269.00,268,434,309,433,77.0
78.0,BILLED,93,457,135,456,78.0
79.0,CHECKED,153,456,206,455,79.0
80.0,/,221,454,223,454,80.0
81.0,DELIVERED,228,454,295,453,81.0
82.0,Thank,168,478,204,477,82.0
83.0,You,212,478,233,478,83.0
84.0,Goods,26,501,63,500,84.0
85.0,once,71,504,100,503,85.0
86.0,sold,108,501,138,500,86.0
87.0,can,145,503,167,503,87.0
88.0,not,175,499,195,499,88.0
89.0,be,204,499,219,499,89.0
90.0,taken,228,498,263,497,90.0
91.0,back,270,498,298,497,91.0
92.0,Exchange,26,520,81,519,92.0
93.0,within,90,518,134,517,93.0
94.0,7,148,517,151,517,94.0
95.0,Days,160,517,187,516,95.0
96.0,for,197,516,216,516,96.0
97.0,unused,225,515,269,514,97.0
98.0,product,278,514,326,513,98.0
99.0,ith,30,542,52,542,99.0
100.0,Bill,63,542,90,542,100.0
101.0,&,98,542,104,542,101.0
102.0,price,111,542,152,542,102.0
103.0,tas,160,542,180,542,103.0
104.0,inact.,191,542,232,542,104.0
105.0,o,34,568,40,568,105.0
106.0,Guarantee,48,566,115,564,106.0
107.0,for,124,565,145,564,107.0
108.0,&,153,565,159,565,108.0
109.0,1mported,169,563,225,562,109.0
110.0,items.,234,561,275,560,110.0
111.0,Cash,49,587,77,587,111.0
112.0,Refund,86,586,130,586,112.0
