,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
35,0,1,RSM,3,181,15,208,14
42,1,2,F,5,215,15,225,15
44,2,5,OO,11,223,15,244,16
20,4,3,FRANCHISE,7,142,41,217,44
52,5,4,SAN,9,249,41,283,44
81,3,6,VEG,13,341,41,372,41
68,7,7,SS,15,308,63,323,64
77,6,8,ROAD,17,328,63,368,62
22,12,17,VEL,35,142,81,168,86
33,14,9,A0,19,165,81,190,85
36,15,10,%,21,191,81,204,86
39,9,11,er,23,204,81,225,82
47,10,13,",",27,229,81,249,82
51,8,14,HENNAI,29,249,81,300,80
70,13,15,600,31,308,81,337,83
80,11,16,042,33,341,81,373,82
16,18,18,TEL,37,118,96,146,104
30,22,19,044,39,158,96,190,105
37,19,20,462,41,191,96,264,104
45,16,12,',25,223,96,229,96
55,20,21,7000,43,262,96,306,104
72,21,22,4362,45,314,96,351,104
82,17,23,7444,47,360,96,394,102
28,24,24,GST,49,152,122,182,123
38,25,25,IN:,51,191,122,216,123
46,23,26,33AAECR4947G1ZC,53,223,122,360,122
11,26,27,Email,55,90,142,134,142
29,27,28,sangeethavchery.hdegmail.com,57,158,142,410,141
31,29,29,Service,59,165,161,227,161
48,28,30,Code:,61,237,161,288,161
67,30,31,996331,63,298,161,350,162
0,33,32,BILL,65,69,205,100,207
14,32,33,NO,67,109,205,128,205
23,31,34,GF140196,69,142,205,226,201
1,36,36,Table,73,69,234,115,236
17,37,37,No,75,125,234,142,237
25,35,38,:5A,77,152,234,178,235
60,34,35,Covers:1,71,276,234,344,234
2,42,39,Captain,79,69,253,134,256
27,41,40,:SARATH,81,152,253,214,254
43,40,41,KUMAR,83,223,253,267,253
61,38,42,(6),85,276,253,301,253
69,39,43,Waiter:SIVANESA,87,308,253,447,251
4,44,44,N,89,69,276,81,277
10,43,45,MR(33),91,90,276,141,276
3,48,46,DATE,93,69,290,107,295
26,47,47,:29/Dec/2017,95,152,290,258,293
57,46,48,TIME:4:26:48,97,269,290,374,292
87,45,49,PM,99,385,290,403,290
8,52,50,ITEM,101,76,331,109,336
56,49,51,RATE,103,269,331,301,331
71,50,52,QTY,105,314,331,344,331
83,51,53,AMOUNT,107,360,331,429,331
9,58,58,Appam,117,76,372,117,375
19,57,59,Coco,119,125,372,162,375
34,56,60,Milk,121,172,372,206,374
58,55,57,47.62,115,269,372,314,373
84,53,54,1,109,360,372,367,372
91,54,55,47.62,111,408,372,454,372
7,63,61,Mushoom,123,76,392,134,395
21,64,62,Biriyani(me,125,142,392,242,394
53,61,63,138.,127,262,392,294,393
66,62,64,10,129,298,392,315,394
85,60,56,1,113,360,392,368,393
89,59,65,138.10,131,401,392,456,392
6,65,66,Kot,133,69,435,98,435
13,66,67,Nos:,135,109,435,140,435
24,68,68,"K-0547,",137,152,435,215,436
41,67,69,"K-0573,",139,215,435,278,435
5,70,70,No,141,69,456,90,456
12,69,71,of,143,99,456,114,456
18,71,72,Item:2,145,125,456,177,457
40,72,73,Total,147,215,456,259,457
59,73,74,Qty:2,149,269,456,317,457
54,75,75,Subtotal:,151,262,477,344,478
88,74,88,185.72,177,385,477,442,477
50,77,76,SGST,153,243,501,280,501
62,78,77,(,155,282,501,288,501
64,79,78,2.5,157,290,501,319,501
73,80,79,%,159,314,501,327,501
75,76,80,),161,328,501,336,501
78,82,81,;,163,341,501,345,504
90,81,89,4.64,179,401,501,443,498
49,86,82,CGST,165,243,523,281,524
63,87,83,(,167,282,523,288,524
65,83,84,2.5,169,290,523,319,523
74,84,85,%,171,320,523,329,523
76,85,86,),173,328,523,337,523
79,89,87,:,175,341,523,347,528
92,88,90,4.64,181,408,523,446,524
15,91,91,Total,183,118,567,160,578
86,90,93,195.00,187,375,567,434,572
32,92,92,Amount,185,165,578,222,583
