Word_Count,Word,index,X1,Y1,X2,Y2
1,EXPECT,3,277,138,334,138
2,MORE.,5,342,138,392,138
3,PAY,7,400,138,430,138
4,LESS:,9,438,138,485,138
5,FREMONT,11,166,191,256,191
6,HUB,13,269,191,310,191
7,510-795-6305,15,338,191,513,191
8,09/17/2017,17,96,216,233,215
9,11:00,19,249,216,315,216
10,AM,21,330,216,356,216
11,EXPIRES,23,384,215,479,214
12,12/16/17,25,494,212,600,211
13,LUGGAGE,27,40,343,137,339
14,069031300,29,40,367,165,362
15,T,31,471,357,480,357
16,$%12.99,33,497,356,603,351
17,BACKPACK,35,262,364,372,359
18,TOYS-SPORTING,37,42,414,222,411
19,G00DS,39,236,412,305,411
20,204001864,41,41,440,165,437
21,204104174,43,41,465,165,461
22,LEGO,45,265,436,319,435
23,DUPLO,47,333,433,402,431
24,T,49,472,431,484,431
25,$24.99,51,528,430,612,428
26,SENSORY,53,264,459,358,457
27,DEVE,55,375,456,430,455
28,T,57,473,455,484,455
29,$9.99,59,542,454,612,453
30,SUBTOTAL,61,378,502,488,502
31,$47.97,63,530,502,614,502
32,T,65,67,537,80,537
33,=,67,96,542,107,542
34,CA,69,123,536,151,535
35,TAX,71,165,534,208,533
36,9.2500,73,236,533,321,531
37,%,75,321,531,334,531
38,on,77,349,535,377,534
39,$,79,406,529,420,529
40,47.97,81,420,528,489,527
41,$,83,541,530,559,530
42,4.44,85,560,530,616,529
43,TOTAL,87,422,553,490,553
44,$52.41,89,532,552,616,552
45,x7077,91,251,602,320,602
46,VISA,93,335,602,392,602
47,CHARGE,95,407,602,491,602
48,$52.41,97,534,602,617,602
49,AID,99,337,627,376,627
50,A0000000031010,101,399,627,614,627
51,Visa,103,337,655,393,655
52,Credit,105,408,653,492,653
53,REC,107,45,735,89,735
54,#,109,90,735,103,735
55,2-7260_1422-0084-9344-5,111,104,735,436,731
56,VCD,113,452,731,494,731
57,#,115,495,731,508,731
58,759-252-649,117,509,731,666,729
59,0,119,82,986,151,989
60,o,121,123,969,155,969
61,We,123,246,967,313,966
62,make,125,337,966,460,964
63,the,127,249,1035,322,1029
64,grade,129,337,1035,472,1023
65,?,131,476,1016,507,1013
66,!,133,508,1013,539,1010
67,Help,135,102,1199,161,1198
68,make,137,177,1198,237,1197
69,your,139,252,1201,312,1200
70,Target,141,328,1194,416,1192
71,Run,143,433,1191,478,1190
72,better.,145,493,1191,594,1189
73,Take,147,40,1229,100,1228
74,a,149,116,1234,130,1234
75,2,151,146,1227,161,1227
76,minute,153,176,1227,267,1225
77,survey,155,283,1231,372,1229
78,about,157,389,1225,462,1224
79,today's,159,479,1221,584,1219
80,trip:,161,603,1223,670,1222
81,informtarget.com,163,241,1282,480,1277
82,User,165,178,1312,237,1311
83,ID:,167,254,1310,294,1309
84,7273,169,330,1309,390,1308
85,9857,171,406,1307,465,1306
86,8991,173,481,1305,540,1304
87,Password:,175,223,1340,354,1336
88,506,177,390,1336,435,1335
89,555,179,451,1335,496,1334
90,CUENTENOS,181,207,1397,343,1394
91,EN,183,359,1394,389,1393
92,ESPANOL,185,405,1392,511,1389
93,Please,187,67,1458,160,1458
94,take,189,176,1456,238,1456
95,this,191,254,1455,314,1455
96,survey,193,331,1457,422,1457
97,within,195,438,1448,530,1448
98,7,197,545,1448,559,1448
99,"days,",199,575,1454,645,1454
