,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
41,0,1,EXPECT,3,277,138,334,138
55,1,2,MORE.,5,342,138,392,138
64,2,3,PAY,7,399,138,430,138
74,3,4,LESS:,9,433,138,485,138
20,4,5,FREMONT,11,165,191,256,191
40,5,6,HUB,13,269,191,310,191
54,6,7,510-795-6305,15,335,191,513,191
12,11,8,09/17/2017,17,96,212,233,215
32,10,9,11:00,19,246,212,315,216
46,9,10,AM,21,328,212,356,216
60,8,11,EXPIRES,23,384,212,479,214
84,7,12,12/16/17,25,493,212,600,211
2,12,13,LUGGAGE,27,40,343,137,339
37,15,17,BACKPACK,35,262,356,372,359
77,14,15,T,31,471,356,480,357
86,13,16,$%12.99,33,493,356,603,351
1,16,14,069031300,29,40,367,165,362
5,18,18,TOYS-SPORTING,37,40,412,222,411
27,17,19,G00DS,39,236,412,305,411
39,22,22,LEGO,45,262,430,319,435
48,21,23,DUPLO,47,328,430,402,431
78,20,24,T,49,471,430,484,431
89,19,25,$24.99,51,528,430,612,428
4,23,20,204001864,41,40,440,165,437
38,27,26,SENSORY,53,262,454,358,457
58,26,27,DEVE,55,375,454,430,455
79,25,28,T,57,471,454,484,455
94,24,29,$9.99,59,541,454,612,453
3,28,21,204104174,43,40,465,165,461
59,29,30,SUBTOTAL,61,375,502,488,502
90,30,31,$47.97,63,528,502,614,502
8,40,32,T,65,67,528,80,537
17,39,34,CA,69,123,528,151,535
19,37,35,TAX,71,165,528,208,533
28,36,36,9.2500,73,236,528,321,531
43,35,37,%,75,321,528,334,531
56,38,38,on,77,349,528,377,534
66,32,39,$,79,405,528,420,529
70,31,40,47.97,81,420,528,489,527
93,34,41,$,83,541,528,559,530
96,33,42,4.44,85,560,528,616,529
11,41,33,=,67,96,542,107,542
71,43,43,TOTAL,87,420,552,490,553
91,42,44,$52.41,89,528,552,616,552
33,45,45,x7077,91,246,602,320,602
49,46,46,VISA,93,335,602,392,602
68,44,47,CHARGE,95,405,602,491,602
92,47,48,$52.41,97,534,602,617,602
52,49,49,AID,99,335,627,376,627
63,48,50,A0000000031010,101,399,627,614,627
53,51,51,Visa,103,335,653,393,655
69,50,52,Credit,105,405,653,492,653
6,55,53,REC,107,40,731,89,735
10,56,54,#,109,90,731,103,735
14,57,55,2-7260_1422-0084-9344-5,111,102,731,436,731
76,53,56,VCD,113,451,731,494,731
85,54,57,#,115,493,731,508,731
88,52,58,759-252-649,117,508,731,666,729
16,60,60,o,121,123,966,155,969
30,59,61,We,123,246,966,313,966
50,58,62,make,125,335,966,460,964
9,61,59,0,119,82,986,151,989
80,63,65,?,131,471,1013,507,1013
87,62,66,!,133,508,1013,539,1010
31,65,63,the,127,246,1035,322,1029
51,64,64,grade,129,335,1035,472,1023
13,70,67,Help,135,102,1191,161,1198
23,69,68,make,137,176,1191,237,1197
44,68,70,Target,141,328,1191,416,1192
72,67,71,Run,143,433,1191,478,1190
83,66,72,better.,145,493,1191,594,1189
34,71,69,your,139,252,1201,312,1200
0,77,73,Take,147,40,1221,100,1228
18,75,75,2,151,146,1221,161,1227
22,76,76,minute,153,176,1221,267,1225
61,74,78,about,157,384,1221,462,1224
81,72,79,today's,159,479,1221,584,1219
98,73,80,trip:,161,603,1221,670,1222
15,79,74,a,149,116,1231,130,1234
42,78,77,survey,155,283,1231,372,1229
29,80,81,informtarget.com,163,236,1282,480,1277
24,85,82,User,165,176,1305,237,1311
35,84,83,ID:,167,252,1305,294,1309
45,83,84,7273,169,328,1305,390,1308
67,82,85,9857,171,405,1305,465,1306
82,81,86,8991,173,479,1305,540,1304
26,88,87,Password:,175,223,1335,354,1336
62,87,88,506,177,390,1335,435,1335
75,86,89,555,179,451,1335,496,1334
25,91,90,CUENTENOS,181,207,1392,343,1394
57,90,91,EN,183,359,1392,389,1393
65,89,92,ESPANOL,185,405,1392,511,1389
21,96,94,take,189,176,1448,238,1456
36,95,95,this,191,252,1448,314,1455
47,97,96,survey,193,328,1448,422,1457
73,92,97,within,195,433,1448,530,1448
95,93,98,7,197,541,1448,559,1448
97,94,99,"days,",199,575,1448,645,1454
7,98,93,Please,187,67,1458,160,1458
