Word_Count,Word,index,X1,Y1,X2,Y2
1,SRI,3,118,11,142,11
2,VENKATESHWARA,5,152,12,263,12
3,SUPERMARKET,7,272,11,366,11
4,"28,",9,66,29,89,29
5,11th,11,93,30,126,30
6,Main,13,135,31,169,31
7,"Road,",15,178,32,219,32
8,Vijaya,17,221,33,271,33
9,"Nagar,",19,281,30,333,30
10,Velachery,21,334,29,410,29
11,GSTin:,23,65,47,123,47
12,33AEAPP4783R1ZU,25,128,47,263,47
13,Ph,27,270,47,288,47
14,"42022228,29",29,295,47,389,47
15,SPLIT,31,196,87,237,87
16,BILL,33,247,87,281,87
17,BILL,35,64,101,95,101
18,DATE,37,107,101,141,101
19,:,39,153,101,155,101
20,08/01/2018,41,164,101,253,101
21,USER,43,268,101,314,101
22,krishna,45,336,101,403,101
23,BILL,47,64,124,94,124
24,NO.1286/,49,104,124,210,124
25,TIME,51,280,123,313,122
26,22:15:56,53,334,121,412,118
27,Description,55,62,162,159,162
28,Rate,57,248,162,283,162
29,Oty,59,319,159,346,159
30,Amount,61,365,156,418,156
31,AER,63,61,200,87,200
32,VIOLET,65,97,200,149,200
33,VALL,67,159,200,194,200
34,BL,69,204,200,221,200
35,54.50,71,240,199,283,199
36,ELVAN,73,61,219,105,219
37,TRUFFLE,75,115,219,176,219
38,CHO,77,186,219,212,219
39,11.00,79,241,218,284,218
40,MAG,81,59,239,86,239
41,MASA,83,96,239,131,238
42,8,85,141,239,150,239
43,PACK,87,159,239,194,238
44,56,89,205,238,221,238
45,85.50,91,239,238,284,237
46,NARA,93,60,259,95,259
47,INS,95,106,259,132,259
48,STR,97,142,259,168,259
49,COFR5,99,178,259,222,259
50,59.50,101,240,257,285,257
51,SUGAR,103,58,279,103,279
52,1,105,115,279,120,279
53,KG,107,132,279,150,279
54,1,109,340,196,344,196
55,54.50,111,375,195,420,193
56,4,113,339,216,347,216
57,44.00,115,376,214,422,214
58,1,117,341,235,346,235
59,85.50,119,376,234,423,233
60,1,121,343,256,347,256
61,59.50,123,378,254,425,254
62,47.00,125,241,277,285,276
63,1.000,127,306,277,350,276
64,47.00,129,379,275,427,274
65,Items,131,57,317,99,316
66,5,133,125,316,140,316
67,Oty,135,157,315,192,314
68,:,137,209,315,212,315
69,8.000,139,217,315,264,314
70,290.50,141,374,357,432,357
71,.,143,410,400,416,400
72,50,145,417,400,434,401
73,291.00,147,377,444,434,439
74,Incl,149,57,360,89,360
75,Gst,151,102,361,128,361
76,Total,153,241,359,283,355
77,Round,155,241,401,287,399
78,Off:,157,297,401,332,399
79,Total,159,176,445,221,445
80,Amount,161,233,445,289,445
81,Cash,163,50,490,87,488
82,Sodexho,165,49,513,116,513
83,:,167,187,489,192,489
84,41.00,169,203,489,286,489
85,:,171,188,513,193,513
86,250.00,173,205,513,290,512
87,Tender51.00,175,272,533,440,533
88,Balance,177,263,557,332,557
89,10.00,179,394,555,442,557
