,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
23,0,1,SRI,3,115,11,142,11
30,2,2,VENKATESHWARA,5,152,11,263,12
64,1,3,SUPERMARKET,7,270,11,366,11
13,3,4,"28,",9,64,29,89,29
14,5,5,11th,11,93,29,126,30
27,7,6,Main,13,132,29,169,31
38,8,7,"Road,",15,176,29,219,32
49,9,8,Vijaya,17,217,29,271,33
66,6,9,"Nagar,",19,280,29,333,30
71,4,10,Velachery,21,334,29,410,29
12,13,11,GSTin:,23,64,47,123,47
25,12,12,33AEAPP4783R1ZU,25,125,47,263,47
62,11,13,Ph,27,270,47,288,47
67,10,14,"42022228,29",29,295,47,389,47
42,14,15,SPLIT,31,196,87,237,87
58,15,16,BILL,33,247,87,281,87
11,16,17,BILL,35,64,101,95,101
20,17,18,DATE,37,102,101,141,101
31,18,19,:,39,152,101,155,101
35,19,20,08/01/2018,41,159,101,253,101
61,20,21,USER,43,263,101,314,101
73,21,22,krishna,45,334,101,403,101
10,24,23,BILL,47,64,121,94,124
18,25,24,NO.1286/,49,102,121,210,124
65,23,25,TIME,51,280,121,313,122
72,22,26,22:15:56,53,334,121,412,118
9,28,27,Description,55,57,156,159,162
59,29,28,Rate,57,247,156,283,162
70,27,29,Oty,59,319,156,346,159
78,26,30,Amount,61,365,156,418,156
7,35,31,AER,63,57,195,87,200
16,36,32,VIOLET,65,93,195,149,200
33,33,33,VALL,67,159,195,194,200
44,34,34,BL,69,203,195,221,200
52,32,35,54.50,71,239,195,283,199
75,31,54,1,109,340,195,344,196
80,30,55,54.50,111,374,195,420,193
8,40,36,ELVAN,73,57,214,105,219
22,41,37,TRUFFLE,75,115,214,176,219
39,42,38,CHO,77,186,214,212,219
56,39,39,11.00,79,239,214,284,218
74,38,56,4,113,334,214,347,216
82,37,57,44.00,115,374,214,422,214
5,48,40,MAG,81,57,234,86,239
15,49,41,MASA,83,93,234,131,238
28,50,42,8,85,141,234,150,239
34,47,43,PACK,87,159,234,194,238
46,46,44,56,89,203,234,221,238
51,45,45,85.50,91,239,234,284,237
76,44,58,1,117,340,234,346,235
81,43,59,85.50,119,374,234,423,233
6,54,46,NARA,93,57,254,95,259
19,55,47,INS,95,102,254,132,259
29,57,48,STR,97,141,254,168,259
37,56,49,COFR5,99,176,254,222,259
53,53,50,59.50,101,239,254,285,257
77,52,60,1,121,340,254,347,256
84,51,61,59.50,123,374,254,425,254
4,63,51,SUGAR,103,57,275,103,279
21,62,52,1,105,115,275,120,279
26,61,53,KG,107,132,275,150,279
57,59,62,47.00,125,239,275,285,276
69,60,63,1.000,127,306,275,350,276
85,58,64,47.00,129,374,275,427,274
3,68,65,Items,131,57,315,99,316
24,67,66,5,133,125,315,140,316
32,65,67,Oty,135,152,315,192,314
47,66,68,:,137,209,315,212,315
48,64,69,8.000,139,217,315,264,314
2,71,74,Incl,149,57,357,89,360
17,72,75,Gst,151,102,357,128,361
54,70,76,Total,153,239,357,283,355
79,69,70,290.50,141,374,357,432,357
55,75,77,Round,155,239,400,287,399
68,76,78,Off:,157,295,400,332,399
87,73,71,.,143,410,400,416,400
88,74,72,50,145,417,400,434,401
36,78,79,Total,159,176,444,221,445
50,79,80,Amount,161,233,444,289,445
83,77,73,291.00,147,374,444,434,439
1,82,81,Cash,163,49,489,87,488
40,80,83,:,167,186,489,192,489
43,81,84,41.00,169,203,489,286,489
0,83,82,Sodexho,165,49,513,116,513
41,84,85,:,171,186,513,193,513
45,85,86,250.00,173,203,513,290,512
63,86,87,Tender51.00,175,270,533,440,533
60,88,88,Balance,177,263,555,332,557
86,87,89,10.00,179,394,555,442,557
