,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
15,1,23,Tx1,47,253,94,253,59
19,0,25,Tx1,51,273,94,273,58
8,2,9,BHAV,19,193,111,191,58
16,5,22,$4.47,45,253,172,253,111
20,4,24,$9.99,49,273,172,273,110
28,3,31,$0.33,63,333,172,334,107
25,7,26,$14.46,53,311,182,314,107
33,6,40,$14.79,81,391,182,396,104
31,8,32,$14-79,65,371,229,375,81
41,9,46,AGAIN,93,458,262,455,202
0,10,3,Foods,7,65,317,60,197
42,11,45,COME,91,458,327,461,276
21,13,21,1GAL,43,273,354,274,307
44,12,44,&,89,464,354,463,342
10,15,12,PM,25,193,368,195,347
39,14,41,Terminal:040000033-001001,83,435,368,430,53
4,16,5,lgonquin,11,100,380,109,195
3,19,4,A,9,100,407,101,390
22,18,20,OIL,41,273,407,275,372
45,17,43,YOU,87,464,407,463,368
7,20,8,NAMASTE,17,172,435,174,264
38,21,38,4,77,421,435,422,422
9,23,11,7:48:27,23,193,474,194,386
13,22,15,LBS,31,235,474,235,439
6,25,7,847-303-5116,15,139,485,144,193
43,24,42,THANK,85,464,485,461,422
1,26,2,Vishnu,5,73,496,66,343
12,27,14,E,29,235,496,235,489
23,29,19,PEANUT,39,273,496,275,426
35,28,35,card,71,398,496,400,448
17,31,17,$1.49ea.,35,253,523,256,431
37,30,37,count:,75,414,523,422,452
27,33,28,TOTAL,57,311,533,317,476
30,32,30,1,61,333,533,338,527
2,34,1,41,3,73,551,74,520
5,35,6,SchaumurgIL,13,124,551,124,231
11,37,10,3/4/2018,21,193,567,196,489
14,39,13,ONIONS,27,235,567,235,513
18,36,16,3,33,253,567,256,560
24,40,18,PENOLA,37,273,567,276,513
26,43,27,SUB,55,311,567,315,546
29,42,29,Tax,59,333,567,336,547
32,41,33,TOTAL,67,371,567,380,464
34,45,34,Credit,69,391,567,398,513
36,44,36,Item,73,414,567,416,535
40,38,39,Trans:219713,79,435,567,438,437
