,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
21,0,1,vishnu,3,511,272,1248,402
35,1,2,Foods.,5,1384,426,1994,533
26,2,5,A1go,11,738,694,1299,669
19,3,4,E,9,414,707,548,701
9,4,3,641,7,39,724,306,712
11,6,6,Schaumburg,13,135,861,1333,863
40,5,9,6017,19,1955,861,2434,861
34,7,7,",",15,1333,890,1433,890
38,8,8,IL,17,1605,901,1818,901
24,9,10,NAMASTE,21,726,1255,1599,1293
46,10,11,BHAV,23,2364,1390,2637,1414
22,11,13,7:48:27,27,523,1441,974,1421
29,12,14,PM,29,1042,1441,1172,1435
7,13,12,3/4/2018,25,32,1462,459,1443
17,15,16,E,33,401,1761,459,1762
23,14,17,LBS,35,523,1761,707,1757
8,16,15,ONIONS,31,39,1776,336,1769
47,17,25,Tx1,51,2438,1913,2623,1905
10,20,18,3,37,70,1923,114,1925
14,18,19,$1.49ea,39,262,1923,698,1921
43,19,24,$4.47,49,2037,1923,2363,1909
44,22,26,$9.99,53,2045,2071,2372,2075
48,21,27,Tx1,55,2438,2071,2632,2071
16,25,21,PEANUT,43,401,2083,777,2086
27,23,22,OIL,45,852,2083,1047,2083
31,24,23,1GAL,47,1128,2083,1377,2083
4,26,20,PENOLA,41,32,2094,336,2094
41,27,32,$14.46,65,1989,2395,2382,2395
2,28,28,SUB,57,26,2408,177,2415
12,29,29,TOTAL,59,224,2408,533,2425
45,30,33,$0.33,67,2056,2558,2387,2571
6,31,30,Tax,61,32,2570,174,2587
13,32,31,1,63,243,2585,276,2589
39,33,34,$14.79,69,1772,2868,2523,2901
3,34,36,TOTAL,73,26,2885,586,2934
42,35,35,$14.79,71,2010,3038,2399,3072
1,36,37,Credit,75,20,3057,345,3085
18,37,38,card,77,407,3076,667,3099
5,38,39,Item,79,32,3220,233,3238
15,39,40,count:,81,287,3241,646,3272
25,40,41,4,83,732,3279,799,3285
0,41,42,Trans:219713Termina1:0400033-001001,85,20,3332,2674,3287
36,42,44,l:,89,1544,3433,1630,3428
30,43,43,ermina,87,1128,3460,1508,3436
37,44,49,AGAIN,99,1590,3551,1902,3537
33,45,48,COME,97,1261,3593,1533,3581
20,46,45,THANK,91,469,3604,793,3590
32,47,47,&,95,1128,3604,1197,3607
28,48,46,YOU,93,861,3614,1065,3605
