Word_Count,Word,index,X1,Y1,X2,Y2
1,vishnu,3,107,51,246,64
2,Foods,5,273,62,381,72
3,Road,7,403,86,499,95
4,FA1,9,110,90,216,99
5,gonquin73,11,226,100,497,124
6,641,13,27,106,74,104
7,E,15,93,103,119,102
8,"schaumburg,",17,43,126,281,122
9,60173,19,292,121,494,117
10,847-303-5116,21,95,149,378,161
11,NAMASTE,23,154,196,315,200
12,BHA,25,458,219,499,221
13,3/4/2018,27,25,230,103,227
14,7:48:27,29,115,226,199,222
15,PM,31,212,226,236,225
16,ONIONS,33,25,282,80,281
17,E,35,93,280,103,280
18,LBS,37,116,280,150,279
19,3,39,32,307,38,307
20,$1.49ea,41,68,307,149,307
21,PENOLA,43,24,334,80,334
22,PEANUT,45,93,334,162,334
23,OIL,47,177,333,213,333
24,1GAL,49,228,333,274,333
25,$4.47,51,398,307,458,304
26,TX,53,472,305,496,304
27,$9.99,55,399,333,460,333
28,Tx,57,474,332,498,332
29,SUB,59,23,388,49,389
30,TOTAL,61,60,388,116,390
31,Tax,63,24,415,50,418
32,1,65,63,418,69,419
33,$14.46,67,389,386,461,386
34,$0.33,69,402,414,461,414
35,$14-79,71,347,464,487,470
36,TOTAL,73,23,468,127,475
37,Credit,75,23,496,83,501
38,card,77,94,499,143,503
39,Item,79,22,522,60,524
40,count:,81,71,528,138,531
41,4,83,154,531,166,532
42,$14.79,85,392,493,464,499
43,:219713Terminal:040000033-00,87,62,560,457,544
44,THANK,89,105,587,165,587
45,VOLL,91,178,588,223,588
46,&,93,229,588,246,588
47,COME,95,254,584,302,584
48,AGAIN,97,315,576,371,576
