,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
0,0,3,3Uan,7,0,231,0,179
12,1,13,AM,27,139,254,141,228
31,2,40,2,81,352,254,352,251
19,4,23,2.19,47,196,277,201,242
23,3,24,1.79,49,216,277,220,242
28,6,31,$4.46,63,292,287,294,243
32,9,35,$3.98,71,352,287,352,243
34,8,36,s0.48,73,372,287,374,241
36,7,37,$4.46,75,393,287,395,242
38,5,39,0-00,79,415,287,417,212
39,10,38,,77,415,307,416,291
11,11,12,11:28,25,139,324,140,269
9,12,10,2302,21,120,335,120,290
45,13,46,A,93,473,335,473,327
2,14,2,7:00am-9:,5,0,348,0,237
14,15,15,In,31,176,372,177,342
8,16,9,CHK,19,120,383,120,348
44,17,45,11:29,91,466,383,472,347
42,18,43,Closed,87,445,400,453,349
7,20,8,leen,17,79,421,83,380
17,19,19,1202,39,196,421,197,383
10,21,11,2/13/2018,23,139,448,139,339
3,23,4,Lunch:9:30am-1:3Gpm,9,19,461,19,219
6,24,7,Col,15,79,461,81,429
41,22,42,Check,85,445,461,449,410
4,27,5,Braista:7:00am-2:30pm,11,40,474,35,206
13,26,14,Dine,29,176,474,177,398
24,28,25,9586,51,236,474,236,407
40,25,41,-,83,445,474,446,465
43,29,44,2/13/2018,89,466,474,470,402
1,31,1,Breakfast:,3,0,493,0,367
18,33,18,Coffee,37,196,493,197,434
20,32,22,Regular,45,216,493,216,423
26,30,28,Autharization,57,278,493,276,366
16,42,17,Brewed,35,196,564,196,507
21,41,21,Muffin,43,216,564,216,507
25,40,26,DISCOVER:01329r,53,258,564,255,413
27,39,27,Credit,55,278,564,278,506
29,37,29,DISCOVER,59,298,564,296,484
30,38,30,xxxxx*x9586,61,317,564,313,407
33,36,32,Subtotal,65,362,564,356,486
35,34,33,Tax,67,383,564,382,534
37,35,34,Payment,69,404,564,396,495
5,45,6,502325004,13,73,590,78,478
15,43,16,1,33,196,590,196,585
22,44,20,1,41,216,590,216,586
