|Word_Count|Word|X1|Y1|X2|Y2
1|1|t|382|4|387|4
2|2|100%|404|5|428|5
3|3|229|444|3|456|3
4|4|AM|458|3|464|3
5|5|Untkled|2|5|22|5
6|6|2-Lbreoffice|25|5|60|5
7|7|Calc|63|5|72|5
8|8|ABE|221|30|251|30
9|9|BIULE|107|63|167|62
10|10|Liberation|19|65|44|65
11|11|Sans|46|65|57|65
12|12|10|79|65|84|65
13|13|BT|18|99|23|99
14|14|A|42|122|44|122
15|15|E|158|122|159|122
16|16|H|243|122|245|122
17|17|1|21|138|22|138
18|18|en|30|138|38|138
19|19|Pice|59|138|68|138
20|20|Ant|116|138|123|138
21|21|1|24|151|27|151
22|22|Tonat|30|152|43|152
23|23|15|109|152|113|152
24|24|3|21|166|22|166
25|25|Pa|26|164|37|164
26|26|125|135|166|142|166
27|27|4|21|180|23|180
28|28|5|21|194|22|194
29|29|10|20|265|24|265
30|30|14|20|322|24|322
31|31|15|20|335|24|335
32|32|16|20|349|24|349
33|33|10|20|391|24|391
34|34|7|20|434|23|434
35|35|23|20|448|24|448
36|36|24|20|462|24|462
37|37|25|19|476|24|476
38|38|26|20|490|23|490
39|39|27|20|504|24|504
40|40|29|19|532|24|532
41|41|32|20|575|23|575
42|42|MNShet|13|605|72|604
43|43|Sheet|13|623|29|623
44|44|1of|31|623|38|623
45|45|Sam-|358|623|373|623
46|46|Defaut|195|624|209|623
47|47|ECP|210|64|210|75
48|48|LN|187|64|187|75
