|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
0|3|5|5|Untkled|2|3|22|5
23|4|6|6|2-Lbreoffice|25|3|60|5
31|5|7|7|Calc|59|3|72|5
44|2|1|1|t|382|3|387|4
45|6|2|2|100%|404|3|428|5
46|0|3|3|229|444|3|456|3
47|1|4|4|AM|458|3|464|3
41|7|8|8|ABE|221|30|251|30
5|11|10|10|Liberation|19|63|44|65
29|12|11|11|Sans|42|63|57|65
32|13|12|12|10|79|63|84|65
33|8|9|9|BIULE|107|63|167|62
38|9|48|48|LN|187|63|187|75
40|10|47|47|ECP|210|63|210|75
3|14|13|13|BT|13|99|23|99
28|15|14|14|A|42|122|44|122
37|16|15|15|E|158|122|159|122
42|17|16|16|H|243|122|245|122
18|18|17|17|1|19|138|22|138
26|19|18|18|en|25|138|38|138
30|20|19|19|Pice|59|138|68|138
35|21|20|20|Ant|116|138|123|138
22|22|21|21|1|19|151|27|151
25|23|22|22|Tonat|25|151|43|152
34|24|23|23|15|107|151|113|152
21|26|24|24|3|19|164|22|166
24|25|25|25|Pa|25|164|37|164
36|27|26|26|125|135|164|142|166
20|28|27|27|4|19|180|23|180
19|29|28|28|5|19|194|22|194
7|30|29|29|10|19|265|24|265
8|31|30|30|14|19|322|24|322
9|32|31|31|15|19|335|24|335
10|33|32|32|16|19|349|24|349
11|34|33|33|10|19|391|24|391
12|35|34|34|7|19|434|23|434
13|36|35|35|23|19|448|24|448
14|37|36|36|24|19|462|24|462
6|38|37|37|25|19|476|24|476
15|39|38|38|26|19|490|23|490
16|40|39|39|27|19|504|24|504
4|41|40|40|29|19|532|24|532
17|42|41|41|32|19|575|23|575
2|43|42|42|MNShet|13|605|72|604
1|44|43|43|Sheet|13|623|29|623
27|45|44|44|1of|31|623|38|623
39|47|46|46|Defaut|195|623|209|623
43|46|45|45|Sam-|358|623|373|623
