,Word_Count,Word,X1,Y1,X2,Y2
1,1,LAIA,97,55,142,56
2,2,SUPER,151,56,197,57
3,3,HARKE,207,57,249,58
4,4,I,256,58,261,58
5,5,NO.,83,70,98,70
6,6,6.,101,71,111,71
7,7,DHIANDEESWARAN,117,71,201,73
8,8,MAIN,207,74,232,75
9,9,ROAD,237,75,262,76
10,10,VELACHE,158,90,219,91
11,11,RV,225,92,241,92
12,12,userld:,56,118,99,119
13,13,ANTONY.J,108,119,159,120
14,14,"PH:22433444,",35,134,110,135
15,15,"22434000,",114,135,169,136
16,16,42022999,173,136,223,137
17,17,CREDII,114,152,170,152
18,18,CARD,178,152,218,152
19,19,B11,228,152,254,152
20,20,BI1I,32,169,58,169
21,21,No:,67,169,91,169
22,22,CC24056,106,169,153,169
23,23,Date:23/09/2017,186,169,284,169
24,24,counter:CL11me:3:21:38,34,185,248,181
25,25,P,257,180,260,180
26,26,Particulars,31,222,106,222
27,27,Rate,188,222,213,222
28,28,Qty,222,221,245,221
29,29,Amount,260,221,307,220
30,30,TOILET,31,259,71,259
31,31,DESCALER,79,259,132,259
32,32,500M40.00,140,259,217,259
33,33,1.00,231,259,256,259
34,34,40.00,278,257,312,257
35,35,MODERN,29,278,70,278
36,36,FAMILY,78,278,119,278
37,37,SANDWI,126,278,165,278
38,38,30.00,184,278,217,278
39,39,1.00,231,278,257,278
40,40,30.00,278,277,313,277
41,41,LATTA,28,298,63,298
42,42,RING,70,298,98,298
43,43,MURUKKU,105,298,153,298
44,44,2,161,297,166,297
45,45,47.00,184,297,218,297
46,46,1.00,232,297,257,297
47,47,47.00,278,296,313,296
48,48,GODREJ,27,316,69,316
49,49,AER,77,316,97,316
50,50,POCKET,105,316,144,316
51,51,BA,153,316,166,316
52,52,54.00,184,316,218,316
53,53,2.00,230,316,257,316
54,54,108.00,273,315,313,315
55,55,INDICA,28,336,69,336
56,56,CREME,76,336,110,336
57,57,HAIR,119,335,145,335
58,58,CO,153,335,167,335
59,59,34.00,184,335,219,335
60,60,1.00,232,335,258,335
61,61,34.00,279,335,314,335
62,62,NESTLE,26,356,68,355
63,63,MUNCH,76,355,111,355
64,64,MAHA,119,356,146,356
65,65,15,155,354,167,354
66,66,5.00,191,354,219,354
67,67,2.00,231,354,258,354
68,68,10.00,280,354,314,354
69,69,Items:,20,397,60,396
70,70,6.00,69,396,98,396
71,71,Tot,125,395,143,395
72,72,Qty:,152,395,178,395
73,73,8.00,193,394,221,394
74,74,269.00,273,391,316,393
75,75,CREDIT,138,435,179,434
76,76,CARD,189,434,217,434
77,77,AMT,224,434,244,434
78,78,269.00,267,433,309,432
79,79,BILLED,93,456,134,455
80,80,CHECKED,153,455,208,454
81,81,DELIVERED,227,453,293,452
82,82,Thank,168,478,204,477
83,83,You,212,478,233,478
84,84,Goods,26,501,63,500
85,85,once,71,504,100,503
86,86,sold,108,501,138,500
87,87,can,145,503,167,503
88,88,not,175,499,195,499
89,89,be,204,499,219,499
90,90,taken,228,498,263,497
91,91,back,270,498,298,497
92,92,Exchange,26,522,85,521
93,93,within,93,523,137,522
94,94,7,146,521,152,521
95,95,Days,160,522,189,521
96,96,for,199,521,219,521
97,97,unused,227,520,270,519
98,98,product,277,517,326,516
99,99,ith,30,542,52,542
100,100,Bill,63,542,90,542
101,101,&,98,542,104,542
102,102,price,111,542,152,542
103,103,tas,160,542,180,542
104,104,inact.,191,542,232,542
105,105,o,34,568,40,568
106,106,Guarantee,48,566,115,564
107,107,for,124,565,145,564
108,108,8,153,565,159,565
109,109,1mported,169,563,225,562
110,110,items.,234,561,275,560
111,111,Cash,49,587,77,587
112,112,Refund,86,586,130,586
