Word_Count,Word,index,X1,Y1,X2,Y2
1,AIA,3,91,26,139,28
2,SUPER,5,148,29,201,31
3,nARKE,7,214,31,261,33
4,NO.,9,72,49,90,49
5,"6,",11,93,49,104,49
6,DHANDEESWARAM,13,115,48,207,48
7,MAIN,15,215,49,242,49
8,ROAD,17,250,50,277,50
9,VELACHERY,19,159,65,253,65
10,GSTIN,21,27,85,63,85
11,33AABFL6568K17),23,71,84,178,84
12,Userld:,25,53,105,101,104
13,v.vIJAY,27,111,105,160,104
14,"PH:22433444,22434000,42022999",29,22,122,232,122
15,CASH-COUPON-BILL,31,110,146,278,139
16,811l,33,22,165,49,164
17,No:,35,59,166,86,165
18,SP10039,37,103,166,153,165
19,Date:08/11/2017,39,189,162,299,159
20,counter:LAT10,41,23,186,117,186
21,Time:8:51:08,43,173,185,259,181
22,PM,45,267,182,281,181
23,Particulars,47,22,227,104,227
24,Rate,49,192,226,221,225
25,Oty,51,234,224,256,223
26,Amount,53,279,224,322,222
27,NESTLE,55,23,269,67,268
28,LACTOGEN,57,75,268,132,267
29,3,59,140,268,147,268
30,50,61,154,268,168,268
31,275.00,63,180,266,222,265
32,1.00,65,237,265,264,264
33,275.00,67,280,264,324,263
34,MOTHER,69,24,288,68,287
35,PUNJABI,71,75,288,124,287
36,PACHR,73,133,287,168,286
37,92.00,75,187,286,222,285
38,1.00,77,237,285,265,284
39,92.00,79,288,284,325,283
40,SELLAM,81,24,308,68,307
41,VATHA,83,76,308,112,307
42,KULAMBU,85,120,307,169,306
43,34.00,87,187,306,224,305
44,1.00,89,237,305,266,304
45,34.00,91,288,305,325,304
46,SELLAM,93,24,329,68,328
47,SESAME,95,76,327,118,326
48,IDLI,97,129,327,153,327
49,P,99,162,326,169,326
50,28.00,101,188,326,223,326
51,1.00,103,238,325,265,325
52,28.00,105,288,325,325,325
53,SUNDAKA,107,24,350,76,349
54,VATHAL,109,84,348,126,347
55,100,111,135,348,155,348
56,G,113,163,347,169,347
57,30.00,115,188,347,223,347
58,1.00,117,238,346,265,346
59,30.00,119,289,346,325,346
60,NESTLE,121,24,370,68,369
61,KITKAT,123,76,368,119,367
62,DESSER,125,127,367,170,366
63,54.00,127,188,367,224,366
64,1.00,129,238,366,266,365
65,54.00,131,289,366,326,365
66,Items:,133,21,411,61,410
67,6.00,135,71,409,100,408
68,Tot,137,126,408,146,408
69,Oty:,139,155,407,181,406
70,6.00,141,196,406,225,405
71,513.00,143,281,405,327,406
72,13.00,145,280,448,315,446
73,13.00,147,281,468,317,468
74,Tendered,149,141,448,199,448
75,Amt:,151,207,447,233,447
76,Cash,153,142,468,171,468
77,Amt:,155,178,468,205,468
78,COUPON,157,142,488,184,488
79,AMOUNT,159,191,488,234,488
80,500.00,161,254,488,314,488
81,CREDIT,163,141,511,184,510
82,CARD,165,193,510,221,510
83,AMT,167,229,509,250,509
84,BILLED,169,96,533,139,532
85,CHECKED/DELIVERED,171,158,532,301,529
86,Thank,173,172,555,208,553
87,You,175,217,554,238,553
88,Goods,177,28,578,65,577
89,once,179,73,580,103,579
90,sold,181,111,577,141,576
91,can,183,149,580,171,580
92,not,185,179,576,199,576
93,be,187,208,577,223,577
94,taken,189,231,575,268,574
95,back,191,275,574,304,573
96,Exchange,193,28,598,88,597
97,within,195,96,599,141,598
98,7,197,149,598,155,598
99,Days,199,164,597,193,596
100,for,201,203,596,222,596
101,unused,203,231,595,275,594
102,product,205,283,594,334,593
103,with,207,28,620,58,620
104,Bil1,209,66,619,94,619
105,&,211,104,619,110,619
106,price,213,119,620,156,619
107,tag,215,165,620,186,620
108,inact.,217,195,617,236,616
