|Word_Count|Word|X1|Y1|X2|Y2
1|1|NO.|72|49|90|49
2|2|6,|93|49|104|49
3|3|DHANDEESWARAM|115|48|207|48
4|4|MAIN|215|49|242|49
5|5|ROAD|250|50|277|50
6|6|VELACHE|158|64|227|64
7|7|R|231|64|239|64
8|8|GST|27|85|48|85
9|9|IN|51|85|63|85
10|10|33AABFL6568KZ|71|84|178|84
11|11|Userld:|53|105|101|104
12|12|v.vIJAY|110|105|160|104
13|13|PH:22433444,22434000,42022999|22|122|232|122
14|14|CASH-COUPON-BILL|111|144|278|139
15|15|8111|23|165|49|164
16|16|No|59|166|73|166
17|17|:|83|169|86|169
18|18|SP10039|103|165|153|164
19|19|Date:08/11/2017|190|163|299|160
20|20|counter:LAT1O|23|187|118|186
21|21|Time:8:51:08|173|185|259|181
22|22|PM|266|182|281|181
23|23|Particulars|22|227|104|227
24|24|Rate|192|226|221|225
25|25|Oty|234|224|256|223
26|26|Amount|279|224|322|222
27|27|NESTLE|23|269|67|268
28|28|LACTOGEN|75|268|132|267
29|29|3|140|268|147|268
30|30|50|154|268|168|268
31|31|275.00|180|266|222|265
32|32|1.00|237|265|264|264
33|33|275.00|280|264|324|263
34|34|MOTHER|23|288|68|287
35|35|PUNJABI|75|288|124|287
36|36|PACHR|133|287|168|286
37|37|92.00|187|286|222|285
38|38|1.00|237|285|265|284
39|39|92.00|288|284|325|283
40|40|SELLAM|24|309|68|308
41|41|VATHA|76|308|112|307
42|42|KULAMBU|120|307|169|306
43|43|34.00|187|306|224|305
44|44|1.00|237|305|266|304
45|45|34.00|288|305|325|304
46|46|SELLAM|24|329|68|328
47|47|SESAME|76|327|118|326
48|48|IDLI|129|327|153|327
49|49|P|162|326|169|326
50|50|28.00|188|326|223|326
51|51|1.00|238|325|265|325
52|52|28.00|288|325|325|325
53|53|SUNDAKA|24|350|76|349
54|54|VATHAL|84|348|126|347
55|55|100|135|348|155|348
56|56|G|163|347|169|347
57|57|30.00|188|347|223|347
58|58|1.00|238|346|265|346
59|59|30.00|289|346|325|346
60|60|NESTLE|24|370|69|369
61|61|KITKAT|76|368|119|367
62|62|DESSER|127|367|170|366
63|63|54.00|188|367|224|366
64|64|1.00|238|366|266|365
65|65|54.00|289|366|326|365
66|66|Items:|21|411|61|410
67|67|6.00|71|409|100|408
68|68|Tot|126|408|146|408
69|69|0ty:|155|407|181|406
70|70|6.00|196|406|225|405
71|71|513.00|281|405|326|406
72|72|Tendered|143|448|199|448
73|73|Amt:|207|447|233|447
74|74|Cash|142|468|171|468
75|75|Amt:|179|468|205|468
76|76|COUPON|142|488|184|488
77|77|AMOUNT|191|488|234|488
78|78|500.00|254|488|314|488
79|79|CREDIT|141|511|184|510
80|80|CARD|193|510|221|510
81|81|AMT|229|509|250|509
82|82|13.00|281|447|316|447
83|83|13.00|281|468|316|468
84|84|BILLED|96|533|139|532
85|85|CHECKED/DELIVERED|158|532|301|529
86|86|Thank|173|555|208|553
87|87|You|216|554|238|553
88|88|Goods|28|578|65|577
89|89|once|73|580|103|579
90|90|sold|111|577|141|576
91|91|can|149|580|171|580
92|92|not|179|576|199|576
93|93|be|208|577|223|577
94|94|taken|231|575|268|574
95|95|back|275|574|304|573
96|96|Exchange|28|598|88|597
97|97|within|96|600|141|599
98|98|7|150|598|156|598
99|99|Days|164|599|193|598
100|100|for|203|596|223|596
101|101|unused|231|595|276|594
102|102|produot|283|595|335|594
103|103|with|28|620|58|620
104|104|Bil1|66|619|94|619
105|105|&|104|619|111|619
106|106|price|119|620|156|619
107|107|tag|165|619|186|619
108|108|inact.|195|616|236|615
109|109|fon|146|641|177|640
110|110|mportad|181|638|232|637
111|111|items|242|637|277|636
