|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
28|2|1|1|LATIA|86|35|141|37
48|1|2|2|SUPER|152|35|204|36
78|0|3|3|HARKE|216|35|266|35
17|6|4|4|NO.6.|74|50|105|56
35|4|5|5|DHANDEESWARAM|114|50|208|52
76|5|6|6|MAIN|216|50|243|53
90|3|7|7|ROAD|245|50|276|50
50|7|8|8|VELACHERY|161|70|253|69
7|9|9|9|GSTIN|25|92|64|92
18|8|10|10|33AABFL6568K121|74|92|179|89
15|12|11|11|User|56|111|83|112
27|11|12|12|Id:|86|111|103|112
34|10|13|13|V.VIJAY|114|111|163|110
0|14|14|14|PH:22433444,22434000,|25|128|174|128
58|13|15|15|42022999|177|128|235|126
33|15|16|16|CASH-COUPOM-BILL|114|152|280|144
1|18|20|20|Bill|25|169|53|172
16|19|21|21|No:|63|169|89|172
30|17|22|22|SP10039|107|169|156|170
63|16|17|17|Date:08/11/2017|191|169|301|162
2|22|23|23|counter:LAT10|25|185|121|191
55|21|18|18|Time:8:51:08|177|185|262|185
91|20|19|19|PM|271|185|284|184
4|26|24|24|Particulars|25|227|108|233
69|25|25|25|Rate|197|227|224|229
80|24|26|26|Qty|239|227|259|227
92|23|27|27|Amount|283|227|324|225
6|33|28|28|NESTLE|25|267|72|273
22|32|29|29|LACTOGEN|80|267|138|272
43|31|30|30|3|144|267|152|273
51|30|31|31|50|161|267|174|272
60|29|32|32|275.00|184|267|228|268
84|28|33|33|1.00|239|267|270|267
94|27|34|34|275.00|283|267|330|265
8|39|35|35|MOTHER|25|287|73|294
23|38|36|36|PUNJABI|80|287|130|292
41|37|37|37|PACHR|136|287|174|291
64|36|38|38|92.00|191|287|229|289
85|35|39|39|1.00|245|287|271|288
99|34|40|40|92.00|290|287|331|286
9|45|41|41|SELLAM|31|307|74|314
24|44|42|42|VATHA|80|307|118|313
37|43|43|43|KULAMBU|124|307|175|311
65|42|44|44|34.00|191|307|229|309
86|41|45|45|1.00|245|307|272|308
100|40|46|46|34.00|296|307|331|306
3|51|47|47|SELLAM|25|328|75|333
20|49|48|48|SESAME|80|328|123|331
39|50|49|49|IDLIP|136|328|176|332
66|48|50|50|28.00|191|328|230|330
87|47|51|51|1.00|245|328|272|329
102|46|52|52|28.00|296|328|332|327
10|58|53|53|SUNDAKA|31|348|83|355
29|57|54|54|VATHAL|92|348|133|353
42|56|55|55|100|144|348|163|352
54|55|56|56|G|171|348|177|352
67|54|57|57|30.00|191|348|231|350
88|53|58|58|1.00|245|348|273|349
103|52|59|59|30.00|296|348|332|347
11|64|60|60|NESTLE|31|369|75|376
25|63|61|61|KITKAT|80|369|125|374
38|62|62|62|DESSER|136|369|177|372
68|61|63|63|54.00|197|369|231|370
89|60|64|64|1.00|245|369|274|369
104|59|65|65|54.00|296|369|333|368
5|70|66|66|Items:|25|410|70|416
21|69|67|67|6.00|80|410|108|415
40|68|68|68|Tot|136|410|154|413
53|67|69|69|Qty:|161|410|190|412
72|66|70|70|6.00|204|410|233|410
97|65|71|71|513.00|290|410|333|409
46|73|72|72|Tendered|152|450|207|452
74|72|73|73|Amt:|216|450|241|451
96|71|81|81|13.00|290|450|325|450
47|76|74|74|Cash|152|470|179|475
61|75|75|75|Amt:|184|470|213|473
98|74|82|82|13.00|290|470|326|469
44|79|76|76|COUPON|152|492|194|494
71|78|77|77|AMOUNT:|204|492|251|492
93|77|83|83|500.00|283|492|327|491
45|82|78|78|CREDIT|152|514|194|515
70|81|79|79|CARD|204|514|232|514
81|80|80|80|AMT|239|514|260|513
31|83|84|84|BILLED/CHECKED/DELIVERED|107|540|314|532
59|85|85|85|Thank|184|558|218|558
79|84|86|86|You|228|558|249|557
13|90|87|87|Goods|41|577|76|583
36|91|89|89|sold|124|577|152|583
49|92|90|90|can|161|577|182|584
62|89|91|91|not|191|577|211|580
77|88|92|92|be|216|577|234|579
82|87|93|93|taken|239|577|279|577
95|86|94|94|back|283|577|316|576
26|93|88|88|once|86|587|114|586
14|99|95|95|Exchange|41|598|100|603
32|100|96|96|within|107|598|153|604
52|98|97|97|7|161|598|167|603
56|97|98|98|Days|177|598|205|601
75|96|99|99|for|216|598|235|600
83|95|100|100|unused|239|598|287|598
101|94|101|101|product|296|598|346|596
12|104|102|102|With|31|622|70|624
19|102|103|103|Bill&price|74|622|168|620
57|103|104|104|tag|177|622|198|623
73|101|105|105|inact.|204|622|248|621
