,Word_Count,Word,X1,Y1,X2,Y2
1,1,IAI,97,57,123,58
2,2,IA,128,58,144,58
3,3,SIIPI,153,59,185,60
4,4,R,191,61,199,61
5,5,MARKE,210,60,250,61
6,6,NO.6,82,72,108,73
7,7,",",109,80,111,80
8,8,HANUftSWAR,120,73,188,75
9,9,AM,190,75,202,75
10,10,MAIN,208,76,232,77
11,11,koAD,239,76,264,77
12,12,VELACHE,158,90,219,91
13,13,RV,225,92,242,92
14,14,userld:,56,118,99,119
15,15,ANTONY.J,108,119,159,120
16,16,"PH:22433444,22434000,-42022999",34,134,221,137
17,17,CREDII,114,152,170,152
18,18,CARD,178,152,218,152
19,19,B11,228,152,254,152
20,20,BI1I,32,169,58,169
21,21,No:,67,169,91,169
22,22,CC24056,106,169,153,169
23,23,Date:23/09/2017,186,169,284,169
24,24,counter:ce:3:21:38,33,185,247,181
25,25,P,256,180,260,180
26,26,Particulars,31,222,106,222
27,27,Rate,188,223,214,222
28,28,Qty,227,222,247,222
29,29,Amount,268,221,307,220
30,30,TOILET,31,259,71,259
31,31,DESCALER,79,259,132,259
32,32,500M,140,259,167,259
33,33,40.00,184,259,217,259
34,34,1.00,231,259,256,259
35,35,40.00,278,257,312,257
36,36,MODERN,29,278,70,278
37,37,FAMILY,78,278,119,278
38,38,SANDWI,126,278,165,278
39,39,30.00,184,278,217,278
40,40,1.00,231,278,257,278
41,41,30.00,278,277,313,277
42,42,LATTA,28,297,63,297
43,43,RING,70,297,98,297
44,44,MURUKKU,105,297,152,297
45,45,2,160,297,166,297
46,46,47.00,184,297,218,297
47,47,1.00,231,297,256,297
48,48,47.00,278,296,312,296
49,49,GODREJ,27,316,69,316
50,50,AER,77,316,97,316
51,51,POCKET,105,316,144,316
52,52,BA,153,316,166,316
53,53,54.00,184,316,218,316
54,54,2.00,230,316,257,316
55,55,108.00,273,315,313,315
56,56,INDICA,28,336,69,336
57,57,CREME,76,336,110,336
58,58,HAIR,119,335,145,335
59,59,CO,153,335,167,335
60,60,34.00,184,335,219,335
61,61,1.00,232,335,258,335
62,62,34.00,279,335,314,335
63,63,NESTLE,26,356,68,355
64,64,MUNCH,76,355,111,355
65,65,MAHA,119,356,146,356
66,66,15,155,354,167,354
67,67,5.00,191,354,219,354
68,68,2.00,231,354,258,354
69,69,10.00,280,354,314,354
70,70,Items:,20,397,60,396
71,71,6.00,69,396,98,396
72,72,Tot,124,395,143,395
73,73,Qty:,152,395,178,395
74,74,8.00,192,394,220,394
75,75,269.00,273,391,316,393
76,76,CREDIT,139,436,179,435
77,77,CARD,189,435,217,435
78,78,AMT,225,435,244,435
79,79,269.00,268,434,309,433
80,80,BILLED,93,457,135,456
81,81,CHECKED,153,456,206,455
82,82,/,221,454,223,454
83,83,DELIVERED,228,454,295,453
84,84,Thank,168,478,204,477
85,85,You,212,478,233,478
86,86,Goods,26,501,63,500
87,87,once,71,504,100,503
88,88,sold,108,501,138,500
89,89,can,145,503,167,503
90,90,not,175,499,195,499
91,91,be,204,499,219,499
92,92,taken,228,498,263,497
93,93,back,270,498,298,497
94,94,Exchange,26,520,81,519
95,95,within,90,518,134,517
96,96,7,148,517,151,517
97,97,Days,160,517,187,516
98,98,for,197,516,216,516
99,99,unused,225,515,269,514
100,100,product,278,514,326,513
101,101,ith,30,542,52,542
102,102,Bill,63,542,90,542
103,103,&,98,542,104,542
104,104,price,111,542,152,542
105,105,tas,160,542,180,542
106,106,inact.,191,542,232,542
107,107,o,34,568,40,568
108,108,Guarantee,48,566,115,564
109,109,for,124,565,145,564
110,110,&,153,565,159,565
111,111,1mported,169,563,225,562
112,112,items.,234,561,275,560
113,113,Cash,49,587,77,587
114,114,Refund,86,586,130,586
