|Word_Count|Word|X1|Y1|X2|Y2
1|1|RayMedi|20|4|61|4
2|2|RPOS|63|4|89|4
3|3|7-1Quolation|92|4|151|4
4|4|Screen]|156|4|190|4
5|5|Customer|6|17|42|17
6|6|Sales|52|19|72|19
7|7|Purchase|82|19|116|19
8|8|Inventory|126|20|159|20
9|9|Accounts|169|20|203|20
10|10|Gage|213|19|231|19
11|11|at|235|21|241|21
12|12|Beports|251|19|278|19
13|13|Iools|288|19|308|19
14|14|Window|318|20|347|20
15|15|Help|357|20|373|20
16|16|Egit|384|19|396|19
17|17|Go|335|39|347|39
18|18|Company1|352|39|401|39
19|19|Location1|528|39|570|39
20|20|Division1|450|41|486|41
21|21|EXIT|226|46|239|46
22|22|Shipping|401|61|457|60
23|23|Details|464|62|505|61
24|24|Name|402|79|426|79
25|25|Door#/Flat|402|91|444|91
26|26|Street|402|104|426|104
27|27|Landmark|402|115|441|115
28|28|City/Place|402|127|442|127
29|29|Pin|402|140|416|140
30|30|code|419|142|437|142
31|31|Phone|402|153|428|153
32|32|Delivery|405|167|434|167
33|33|Charges|437|167|466|167
34|34|10/09/2012|731|61|791|61
35|35|Customer|9|63|67|63
36|36|Details|73|63|113|63
37|37|Quot|669|64|690|63
38|38|Date|695|64|716|63
39|39|Eric|67|78|86|78
40|40|J|90|81|93|81
41|41|Raymond|98|80|137|80
42|42|Name|6|79|29|79
43|43|Door/Flat|7|90|43|90
44|44|Street|6|103|29|103
45|45|Landmark|6|115|44|115
46|46|City/Place|6|128|45|128
47|47|Category|6|141|40|142
48|48|Credit|6|153|28|153
49|49|Limit|32|154|47|154
50|50|Outstanding|6|165|52|165
51|51|Quot|669|82|691|82
52|52|No|695|82|706|82
53|53|2|789|82|793|82
54|54|514/1A|71|93|101|93
55|55|West|70|105|91|105
56|56|boulward|96|105|134|105
57|57|Item|665|97|691|97
58|58|Disc|696|100|714|100
59|59|Sub|665|116|692|116
60|60|Tot|698|119|720|119
61|61|Near|71|118|90|118
62|62|alpha|95|118|117|118
63|63|tower|122|118|144|118
64|64|57777.78|743|119|795|119
65|65|Delhi|71|130|92|130
66|66|VAT|665|141|687|141
67|67|7222.22|755|141|795|141
68|68|NA|71|142|82|142
69|69|100000.00|71|155|115|155
70|70|Rounding|665|158|713|158
71|71|0.00|774|159|795|159
72|72|0.00|71|167|89|167
73|73|Total|709|179|749|179
74|74|Code|20|186|43|186
75|75|SalesMan|566|186|611|186
76|76|Item|161|187|183|187
77|77|Rate|303|187|323|187
78|78|Qty|355|187|370|187
79|79|Dis%|396|187|420|187
80|80|Amount|452|187|489|187
81|81|188|11|203|25|203
82|82|SAMSUNG|59|203|102|203
83|83|LED|107|203|122|203
84|84|32|127|203|136|203
85|85|UA32EH4000|141|203|195|203
86|86|32000.00|296|203|335|203
87|87|32000.00|470|203|509|203
88|88|1|382|204|384|204
89|89|65000.00|682|212|778|212
90|90|103|11|216|25|216
91|91|29|59|216|68|216
92|92|FD7AGE|73|216|106|216
93|93|LG|111|216|121|216
94|94|SUPER|126|216|153|216
95|95|SLIM|159|216|178|216
96|96|TV|183|216|193|216
97|97|29|198|216|207|216
98|98|14000.00|296|216|335|215
99|99|1|382|216|384|216
100|100|14000.00|470|216|509|216
101|101|163|8|226|25|226
102|102|ELUX|59|228|79|228
103|103|12|85|228|93|228
104|104|SC|98|228|109|228
105|105|ELECTROLUX|114|228|171|228
106|106|1.0|176|228|188|228
107|107|TON|192|228|209|228
108|108|SPLIT|214|228|238|228
109|109|AC|243|228|254|228
110|110|15000.00|296|228|335|227
111|111|1|382|228|384|228
112|112|15000.00|470|228|509|228
